N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
1          SO0        1     16         1          25         1          0.000001039356 
2          SO0        1     16         1          25         1          0.000000976026 
3          SO0        1     16         1          25         1          0.000000957400 
4          SO0        1     16         1          25         1          0.000001061708 
5          SO0        1     16         1          25         1          0.000000957400 
6          SO0        1     16         1          25         1          0.000000972301 
7          SO0        1     16         1          25         1          0.000001017004 
8          SO0        1     16         1          25         1          0.000001039356 
9          SO0        1     16         1          25         1          0.000000964850 
10         SO0        1     16         1          25         1          0.000000968575 
11         SO0        1     16         1          25         1          0.000000946224 
12         SO0        1     16         1          25         1          0.000000961125 
13         SO0        1     16         1          25         1          0.000000994653 
14         SO0        1     16         1          25         1          0.000001009554 
15         SO0        1     16         1          25         1          0.000000976026 
16         SO0        1     16         1          25         1          0.000000864267 
17         SO0        1     16         1          25         1          0.000000957400 
18         SO0        1     16         1          25         1          0.000000957400 
19         SO0        1     16         1          25         1          0.000000968575 
20         SO0        1     16         1          25         1          0.000001009554 
21         SO0        1     16         1          25         1          0.000000990927 
22         SO0        1     16         1          25         1          0.000001005828 
23         SO0        1     16         1          25         1          0.000000979751 
24         SO0        1     16         1          25         1          0.000000990927 
25         SO0        1     16         1          25         1          0.000000968575 
26         SO0        1     32         1          25         1          0.000003576279 
27         SO0        1     32         1          25         1          0.000003278255 
28         SO0        1     32         1          25         1          0.000003200024 
29         SO0        1     32         1          25         1          0.000002857298 
30         SO0        1     32         1          25         1          0.000003162771 
31         SO0        1     32         1          25         1          0.000003181398 
32         SO0        1     32         1          25         1          0.000003181398 
33         SO0        1     32         1          25         1          0.000003274530 
34         SO0        1     32         1          25         1          0.000003185123 
35         SO0        1     32         1          25         1          0.000003024936 
36         SO0        1     32         1          25         1          0.000003166497 
37         SO0        1     32         1          25         1          0.000003289431 
38         SO0        1     32         1          25         1          0.000002872199 
39         SO0        1     32         1          25         1          0.000003151596 
40         SO0        1     32         1          25         1          0.000003542751 
41         SO0        1     32         1          25         1          0.000003099442 
42         SO0        1     32         1          25         1          0.000003155321 
43         SO0        1     32         1          25         1          0.000003207475 
44         SO0        1     32         1          25         1          0.000002861023 
45         SO0        1     32         1          25         1          0.000003252178 
46         SO0        1     32         1          25         1          0.000003203750 
47         SO0        1     32         1          25         1          0.000003162771 
48         SO0        1     32         1          25         1          0.000003170222 
49         SO0        1     32         1          25         1          0.000003192574 
50         SO0        1     32         1          25         1          0.000002846122 
51         SO0        1     64         1          25         1          0.000010531396 
52         SO0        1     64         1          25         1          0.000011153519 
53         SO0        1     64         1          25         1          0.000011362135 
54         SO0        1     64         1          25         1          0.000010024756 
55         SO0        1     64         1          25         1          0.000011090189 
56         SO0        1     64         1          25         1          0.000011857599 
57         SO0        1     64         1          25         1          0.000010326505 
58         SO0        1     64         1          25         1          0.000010911375 
59         SO0        1     64         1          25         1          0.000011041760 
60         SO0        1     64         1          25         1          0.000010497868 
61         SO0        1     64         1          25         1          0.000010821968 
62         SO0        1     64         1          25         1          0.000011131167 
63         SO0        1     64         1          25         1          0.000010222197 
64         SO0        1     64         1          25         1          0.000011146069 
65         SO0        1     64         1          25         1          0.000011943281 
66         SO0        1     64         1          25         1          0.000011123717 
67         SO0        1     64         1          25         1          0.000010870397 
68         SO0        1     64         1          25         1          0.000011112541 
69         SO0        1     64         1          25         1          0.000011056662 
70         SO0        1     64         1          25         1          0.000010918826 
71         SO0        1     64         1          25         1          0.000012163073 
72         SO0        1     64         1          25         1          0.000010091811 
73         SO0        1     64         1          25         1          0.000011079013 
74         SO0        1     64         1          25         1          0.000011283904 
75         SO0        1     64         1          25         1          0.000010091811 
76         SO0        1     128        1          25         1          0.000037185848 
77         SO0        1     128        1          25         1          0.000048503280 
78         SO0        1     128        1          25         1          0.000049717724 
79         SO0        1     128        1          25         1          0.000043183565 
80         SO0        1     128        1          25         1          0.000048413873 
81         SO0        1     128        1          25         1          0.000059723854 
82         SO0        1     128        1          25         1          0.000044014305 
83         SO0        1     128        1          25         1          0.000049382448 
84         SO0        1     128        1          25         1          0.000051703304 
85         SO0        1     128        1          25         1          0.000043198466 
86         SO0        1     128        1          25         1          0.000049017370 
87         SO0        1     128        1          25         1          0.000049378723 
88         SO0        1     128        1          25         1          0.000049516559 
89         SO0        1     128        1          25         1          0.000054970384 
90         SO0        1     128        1          25         1          0.000049717724 
91         SO0        1     128        1          25         1          0.000051517040 
92         SO0        1     128        1          25         1          0.000044513494 
93         SO0        1     128        1          25         1          0.000048398972 
94         SO0        1     128        1          25         1          0.000043392181 
95         SO0        1     128        1          25         1          0.000064507127 
96         SO0        1     128        1          25         1          0.000049095601 
97         SO0        1     128        1          25         1          0.000043921173 
98         SO0        1     128        1          25         1          0.000049348921 
99         SO0        1     128        1          25         1          0.000050570816 
100        SO0        1     128        1          25         1          0.000044301152 
101        SO0        1     256        1          25         1          0.000147923827 
102        SO0        1     256        1          25         1          0.000230107456 
103        SO0        1     256        1          25         1          0.000229123980 
104        SO0        1     256        1          25         1          0.000189598650 
105        SO0        1     256        1          25         1          0.000224497169 
106        SO0        1     256        1          25         1          0.000234186649 
107        SO0        1     256        1          25         1          0.000192198902 
108        SO0        1     256        1          25         1          0.000224161893 
109        SO0        1     256        1          25         1          0.000231515616 
110        SO0        1     256        1          25         1          0.000193513930 
111        SO0        1     256        1          25         1          0.000222481787 
112        SO0        1     256        1          25         1          0.000231966376 
113        SO0        1     256        1          25         1          0.000192094594 
114        SO0        1     256        1          25         1          0.000228613615 
115        SO0        1     256        1          25         1          0.000225193799 
116        SO0        1     256        1          25         1          0.000236965716 
117        SO0        1     256        1          25         1          0.000190574676 
118        SO0        1     256        1          25         1          0.000225257128 
119        SO0        1     256        1          25         1          0.000194862485 
120        SO0        1     256        1          25         1          0.000223908573 
121        SO0        1     256        1          25         1          0.000239234418 
122        SO0        1     256        1          25         1          0.000191450119 
123        SO0        1     256        1          25         1          0.000228442252 
124        SO0        1     256        1          25         1          0.000235620886 
125        SO0        1     256        1          25         1          0.000188559294 
126        SO0        1     512        1          25         1          0.000661317259 
127        SO0        1     512        1          25         1          0.000695753843 
128        SO0        1     512        1          25         1          0.000736251473 
129        SO0        1     512        1          25         1          0.000698518008 
130        SO0        1     512        1          25         1          0.000703491271 
131        SO0        1     512        1          25         1          0.000742867589 
132        SO0        1     512        1          25         1          0.000694051385 
133        SO0        1     512        1          25         1          0.000702496618 
134        SO0        1     512        1          25         1          0.000748306513 
135        SO0        1     512        1          25         1          0.000686917454 
136        SO0        1     512        1          25         1          0.000701781362 
137        SO0        1     512        1          25         1          0.000729978085 
138        SO0        1     512        1          25         1          0.000688590109 
139        SO0        1     512        1          25         1          0.000703163445 
140        SO0        1     512        1          25         1          0.000729940832 
141        SO0        1     512        1          25         1          0.000691857189 
142        SO0        1     512        1          25         1          0.000695772469 
143        SO0        1     512        1          25         1          0.000747647136 
144        SO0        1     512        1          25         1          0.000696633011 
145        SO0        1     512        1          25         1          0.000692285597 
146        SO0        1     512        1          25         1          0.000742964447 
147        SO0        1     512        1          25         1          0.000700540841 
148        SO0        1     512        1          25         1          0.000706382096 
149        SO0        1     512        1          25         1          0.000752493739 
150        SO0        1     512        1          25         1          0.000694751740 
151        SO0        1     1024       1          25         1          0.003331977874 
152        SO0        1     1024       1          25         1          0.003463443369 
153        SO0        1     1024       1          25         1          0.003121208400 
154        SO0        1     1024       1          25         1          0.003107350320 
155        SO0        1     1024       1          25         1          0.003473084420 
156        SO0        1     1024       1          25         1          0.003076978028 
157        SO0        1     1024       1          25         1          0.003077287227 
158        SO0        1     1024       1          25         1          0.003092374653 
159        SO0        1     1024       1          25         1          0.003072436899 
160        SO0        1     1024       1          25         1          0.003435552120 
161        SO0        1     1024       1          25         1          0.003066733479 
162        SO0        1     1024       1          25         1          0.003042668104 
163        SO0        1     1024       1          25         1          0.003465663642 
164        SO0        1     1024       1          25         1          0.003063432872 
165        SO0        1     1024       1          25         1          0.003068450838 
166        SO0        1     1024       1          25         1          0.003481831402 
167        SO0        1     1024       1          25         1          0.003061823547 
168        SO0        1     1024       1          25         1          0.003081042320 
169        SO0        1     1024       1          25         1          0.003459315747 
170        SO0        1     1024       1          25         1          0.003067955375 
171        SO0        1     1024       1          25         1          0.003055229783 
172        SO0        1     1024       1          25         1          0.003498841077 
173        SO0        1     1024       1          25         1          0.003431424499 
174        SO0        1     1024       1          25         1          0.003074169159 
175        SO0        1     1024       1          25         1          0.003494217992 
176        SO0        1     2048       1          25         1          0.025144927204 
177        SO0        1     2048       1          25         1          0.025215491652 
178        SO0        1     2048       1          25         1          0.028462465852 
179        SO0        1     2048       1          25         1          0.025246571749 
180        SO0        1     2048       1          25         1          0.025787558407 
181        SO0        1     2048       1          25         1          0.028421558440 
182        SO0        1     2048       1          25         1          0.029087495059 
183        SO0        1     2048       1          25         1          0.025899510831 
184        SO0        1     2048       1          25         1          0.028552152216 
185        SO0        1     2048       1          25         1          0.024948991835 
186        SO0        1     2048       1          25         1          0.025632940233 
187        SO0        1     2048       1          25         1          0.028334017843 
188        SO0        1     2048       1          25         1          0.024917088449 
189        SO0        1     2048       1          25         1          0.025804672390 
190        SO0        1     2048       1          25         1          0.028568122536 
191        SO0        1     2048       1          25         1          0.025839928538 
192        SO0        1     2048       1          25         1          0.028378557414 
193        SO0        1     2048       1          25         1          0.024840753525 
194        SO0        1     2048       1          25         1          0.025935735554 
195        SO0        1     2048       1          25         1          0.028418138623 
196        SO0        1     2048       1          25         1          0.024908427149 
197        SO0        1     2048       1          25         1          0.025746192783 
198        SO0        1     2048       1          25         1          0.028664860874 
199        SO0        1     2048       1          25         1          0.024911548942 
200        SO0        1     2048       1          25         1          0.025717835873 
201        SO0        1     4096       1          25         1          0.119281187654 
202        SO0        1     4096       1          25         1          0.118632059544 
203        SO0        1     4096       1          25         1          0.138863280416 
204        SO0        1     4096       1          25         1          0.121936678886 
205        SO0        1     4096       1          25         1          0.140283446759 
