N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
9452       OMPGLBBB   7     16         1          25         1          0.000008650124 
9453       OMPGLBBB   7     16         1          25         1          0.000003743917 
9454       OMPGLBBB   7     16         1          25         1          0.000009208918 
9455       OMPGLBBB   7     16         1          25         1          0.000009365380 
9456       OMPGLBBB   7     16         1          25         1          0.000003468245 
9457       OMPGLBBB   7     16         1          25         1          0.000009302050 
9458       OMPGLBBB   7     16         1          25         1          0.000003471971 
9459       OMPGLBBB   7     16         1          25         1          0.000003401190 
9460       OMPGLBBB   7     16         1          25         1          0.000009313226 
9461       OMPGLBBB   7     16         1          25         1          0.000003453344 
9462       OMPGLBBB   7     16         1          25         1          0.000003416091 
9463       OMPGLBBB   7     16         1          25         1          0.000009290874 
9464       OMPGLBBB   7     16         1          25         1          0.000003464520 
9465       OMPGLBBB   7     16         1          25         1          0.000009089708 
9466       OMPGLBBB   7     16         1          25         1          0.000003475696 
9467       OMPGLBBB   7     16         1          25         1          0.000003419816 
9468       OMPGLBBB   7     16         1          25         1          0.000003498048 
9469       OMPGLBBB   7     16         1          25         1          0.000003408641 
9470       OMPGLBBB   7     16         1          25         1          0.000003401190 
9471       OMPGLBBB   7     16         1          25         1          0.000003557652 
9472       OMPGLBBB   7     16         1          25         1          0.000009302050 
9473       OMPGLBBB   7     16         1          25         1          0.000003430992 
9474       OMPGLBBB   7     16         1          25         1          0.000003520399 
9475       OMPGLBBB   7     16         1          25         1          0.000003483146 
9476       OMPGLBBB   7     16         1          25         1          0.000003531575 
9477       OMPGLBBB   7     16         1          25         2          0.000007472932 
9478       OMPGLBBB   7     16         1          25         2          0.000021412969 
9479       OMPGLBBB   7     16         1          25         2          0.000013411045 
9480       OMPGLBBB   7     16         1          25         2          0.000013306737 
9481       OMPGLBBB   7     16         1          25         2          0.000018279999 
9482       OMPGLBBB   7     16         1          25         2          0.000012584031 
9483       OMPGLBBB   7     16         1          25         2          0.000018540770 
9484       OMPGLBBB   7     16         1          25         2          0.000018104911 
9485       OMPGLBBB   7     16         1          25         2          0.000011712313 
9486       OMPGLBBB   7     16         1          25         2          0.000018298626 
9487       OMPGLBBB   7     16         1          25         2          0.000012688339 
9488       OMPGLBBB   7     16         1          25         2          0.000018179417 
9489       OMPGLBBB   7     16         1          25         2          0.000013086945 
9490       OMPGLBBB   7     16         1          25         2          0.000012174249 
9491       OMPGLBBB   7     16         1          25         2          0.000012762845 
9492       OMPGLBBB   7     16         1          25         2          0.000018332154 
9493       OMPGLBBB   7     16         1          25         2          0.000012557954 
9494       OMPGLBBB   7     16         1          25         2          0.000013180077 
9495       OMPGLBBB   7     16         1          25         2          0.000018902123 
9496       OMPGLBBB   7     16         1          25         2          0.000017650425 
9497       OMPGLBBB   7     16         1          25         2          0.000012598932 
9498       OMPGLBBB   7     16         1          25         2          0.000018481165 
9499       OMPGLBBB   7     16         1          25         2          0.000017888844 
9500       OMPGLBBB   7     16         1          25         2          0.000011574477 
9501       OMPGLBBB   7     16         1          25         2          0.000011608005 
9502       OMPGLBBB   7     16         1          25         4          0.000013217330 
9503       OMPGLBBB   7     16         1          25         4          0.000019926578 
9504       OMPGLBBB   7     16         1          25         4          0.000020619482 
9505       OMPGLBBB   7     16         1          25         4          0.000019088387 
9506       OMPGLBBB   7     16         1          25         4          0.000018589199 
9507       OMPGLBBB   7     16         1          25         4          0.000019390136 
9508       OMPGLBBB   7     16         1          25         4          0.000029832125 
9509       OMPGLBBB   7     16         1          25         4          0.000019252300 
9510       OMPGLBBB   7     16         1          25         4          0.000029925257 
9511       OMPGLBBB   7     16         1          25         4          0.000019270927 
9512       OMPGLBBB   7     16         1          25         4          0.000020705163 
9513       OMPGLBBB   7     16         1          25         4          0.000019639730 
9514       OMPGLBBB   7     16         1          25         4          0.000019773841 
9515       OMPGLBBB   7     16         1          25         4          0.000030107796 
9516       OMPGLBBB   7     16         1          25         4          0.000018808991 
9517       OMPGLBBB   7     16         1          25         4          0.000019628555 
9518       OMPGLBBB   7     16         1          25         4          0.000019591302 
9519       OMPGLBBB   7     16         1          25         4          0.000017959625 
9520       OMPGLBBB   7     16         1          25         4          0.000019356608 
9521       OMPGLBBB   7     16         1          25         4          0.000020146370 
9522       OMPGLBBB   7     16         1          25         4          0.000020235777 
9523       OMPGLBBB   7     16         1          25         4          0.000030208379 
