N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
254        OMPGLBWS   5     16         1          25         1          0.000009272248  0.000000976771  0.11       10.53     %
255        OMPGLBWS   5     16         1          25         2          0.000015934184  0.000000976771  0.06       3.07      %
256        OMPGLBWS   5     16         1          25         4          0.000029833987  0.000000976771  0.03       0.82      %
257        OMPGLBWS   5     16         1          25         8          0.000027049333  0.000000976771  0.04       0.45      %
258        OMPGLBWS   5     16         1          25         16         0.000039174408  0.000000976771  0.02       0.16      %
259        OMPGLBWS   5     16         1          25         32         0.000080330297  0.000000976771  0.01       0.04      %
260        OMPGLBWS   5     16         1          25         64         0.013347184658  0.000000976771  0.00       0.00      %
261        OMPGLBWS   5     32         1          25         1          0.000007423013  0.000003053620  0.41       41.14     %
262        OMPGLBWS   5     32         1          25         2          0.000014023855  0.000003053620  0.22       10.89     %
263        OMPGLBWS   5     32         1          25         4          0.000021646172  0.000003053620  0.14       3.53      %
264        OMPGLBWS   5     32         1          25         8          0.000029421225  0.000003053620  0.10       1.30      %
265        OMPGLBWS   5     32         1          25         16         0.000038413331  0.000003053620  0.08       0.50      %
266        OMPGLBWS   5     32         1          25         32         0.000079661980  0.000003053620  0.04       0.12      %
267        OMPGLBWS   5     32         1          25         64         0.012463503331  0.000003053620  0.00       0.00      %
268        OMPGLBWS   5     64         1          25         1          0.000030694902  0.000010679290  0.35       34.79     %
269        OMPGLBWS   5     64         1          25         2          0.000017834455  0.000010679290  0.60       29.94     %
270        OMPGLBWS   5     64         1          25         4          0.000023745745  0.000010679290  0.45       11.24     %
271        OMPGLBWS   5     64         1          25         8          0.000030624121  0.000010679290  0.35       4.36      %
272        OMPGLBWS   5     64         1          25         16         0.000040145218  0.000010679290  0.27       1.66      %
273        OMPGLBWS   5     64         1          25         32         0.000080792233  0.000010679290  0.13       0.41      %
274        OMPGLBWS   5     64         1          25         64         0.000960054621  0.000010679290  0.01       0.02      %
275        OMPGLBWS   5     128        1          25         1          0.000026874244  0.000047537312  1.77       176.89    %
276        OMPGLBWS   5     128        1          25         2          0.000031679496  0.000047537312  1.50       75.03     %
277        OMPGLBWS   5     128        1          25         4          0.000029651448  0.000047537312  1.60       40.08     %
278        OMPGLBWS   5     128        1          25         8          0.000033221394  0.000047537312  1.43       17.89     %
279        OMPGLBWS   5     128        1          25         16         0.000040208176  0.000047537312  1.18       7.39      %
280        OMPGLBWS   5     128        1          25         32         0.000079898909  0.000047537312  0.59       1.86      %
281        OMPGLBWS   5     128        1          25         64         0.000779515505  0.000047537312  0.06       0.10      %
282        OMPGLBWS   5     256        1          25         1          0.000094774738  0.000221407786  2.34       233.61    %
283        OMPGLBWS   5     256        1          25         2          0.000086497515  0.000221407786  2.56       127.99    %
284        OMPGLBWS   5     256        1          25         4          0.000056489930  0.000221407786  3.92       97.99     %
285        OMPGLBWS   5     256        1          25         8          0.000053562596  0.000221407786  4.13       51.67     %
286        OMPGLBWS   5     256        1          25         16         0.000056704879  0.000221407786  3.90       24.40     %
287        OMPGLBWS   5     256        1          25         32         0.000092094019  0.000221407786  2.40       7.51      %
288        OMPGLBWS   5     256        1          25         64         0.000798650458  0.000221407786  0.28       0.43      %
289        OMPGLBWS   5     512        1          25         1          0.000387924910  0.000676047429  1.74       174.27    %
290        OMPGLBWS   5     512        1          25         2          0.000299187750  0.000676047429  2.26       112.98    %
291        OMPGLBWS   5     512        1          25         4          0.000166378543  0.000676047429  4.06       101.58    %
292        OMPGLBWS   5     512        1          25         8          0.000116606429  0.000676047429  5.80       72.47     %
293        OMPGLBWS   5     512        1          25         16         0.000113454834  0.000676047429  5.96       37.24     %
294        OMPGLBWS   5     512        1          25         32         0.000150310248  0.000676047429  4.50       14.06     %
295        OMPGLBWS   5     512        1          25         64         0.000865136832  0.000676047429  0.78       1.22      %
296        OMPGLBWS   5     1024       1          25         1          0.001590543240  0.003130791336  1.97       196.84    %
297        OMPGLBWS   5     1024       1          25         2          0.001334268227  0.003130791336  2.35       117.32    %
298        OMPGLBWS   5     1024       1          25         4          0.000689559802  0.003130791336  4.54       113.51    %
299        OMPGLBWS   5     1024       1          25         8          0.000402010605  0.003130791336  7.79       97.35     %
300        OMPGLBWS   5     1024       1          25         16         0.000320372358  0.003130791336  9.77       61.08     %
301        OMPGLBWS   5     1024       1          25         32         0.000345459580  0.003130791336  9.06       28.32     %
302        OMPGLBWS   5     1024       1          25         64         0.000979664177  0.003130791336  3.20       4.99      %
303        OMPGLBWS   5     2048       1          25         1          0.024525925890  0.025855134428  1.05       105.42    %
304        OMPGLBWS   5     2048       1          25         2          0.013327726349  0.025855134428  1.94       97.00     %
305        OMPGLBWS   5     2048       1          25         4          0.006834581867  0.025855134428  3.78       94.57     %
306        OMPGLBWS   5     2048       1          25         8          0.003763523698  0.025855134428  6.87       85.87     %
307        OMPGLBWS   5     2048       1          25         16         0.002305893227  0.025855134428  11.21      70.08     %
308        OMPGLBWS   5     2048       1          25         32         0.001989647001  0.025855134428  12.99      40.61     %
309        OMPGLBWS   5     2048       1          25         64         0.010882579535  0.025855134428  2.38       3.71      %
310        OMPGLBWS   5     4096       1          25         1          0.139045132324  0.121226964518  0.87       87.19     %
311        OMPGLBWS   5     4096       1          25         2          0.066652305052  0.121226964518  1.82       90.94     %
312        OMPGLBWS   5     4096       1          25         4          0.033740013093  0.121226964518  3.59       89.82     %
313        OMPGLBWS   5     4096       1          25         8          0.018109730259  0.121226964518  6.69       83.68     %
314        OMPGLBWS   5     4096       1          25         16         0.011338397488  0.121226964518  10.69      66.82     %
315        OMPGLBWS   5     4096       1          25         32         0.008602372929  0.121226964518  14.09      44.04     %
316        OMPGLBWS   5     4096       1          25         64         0.012922019884  0.121226964518  9.38       14.66     %
695        OMPGLBWS   5     16         2          25         1          0.000007472560  0.000001437962  0.19       19.24     %
696        OMPGLBWS   5     16         2          25         2          0.000010859966  0.000001437962  0.13       6.62      %
697        OMPGLBWS   5     16         2          25         4          0.000023290515  0.000001437962  0.06       1.54      %
698        OMPGLBWS   5     16         2          25         8          0.000022912025  0.000001437962  0.06       0.78      %
699        OMPGLBWS   5     16         2          25         16         0.000028948486  0.000001437962  0.05       0.31      %
700        OMPGLBWS   5     16         2          25         32         0.000063451752  0.000001437962  0.02       0.07      %
701        OMPGLBWS   5     16         2          25         64         0.000489050895  0.000001437962  0.00       0.00      %
702        OMPGLBWS   5     32         2          25         1          0.000012829527  0.000003486872  0.27       27.18     %
703        OMPGLBWS   5     32         2          25         2          0.000012862310  0.000003486872  0.27       13.55     %
704        OMPGLBWS   5     32         2          25         4          0.000027269870  0.000003486872  0.13       3.20      %
705        OMPGLBWS   5     32         2          25         8          0.000024869293  0.000003486872  0.14       1.75      %
706        OMPGLBWS   5     32         2          25         16         0.000032646582  0.000003486872  0.11       0.67      %
707        OMPGLBWS   5     32         2          25         32         0.000068658963  0.000003486872  0.05       0.16      %
708        OMPGLBWS   5     32         2          25         64         0.000496444479  0.000003486872  0.01       0.01      %
709        OMPGLBWS   5     64         2          25         1          0.000024655089  0.000010478497  0.43       42.50     %
710        OMPGLBWS   5     64         2          25         2          0.000021945685  0.000010478497  0.48       23.87     %
711        OMPGLBWS   5     64         2          25         4          0.000032787770  0.000010478497  0.32       7.99      %
712        OMPGLBWS   5     64         2          25         8          0.000029721111  0.000010478497  0.35       4.41      %
713        OMPGLBWS   5     64         2          25         16         0.000037413090  0.000010478497  0.28       1.75      %
714        OMPGLBWS   5     64         2          25         32         0.000072245300  0.000010478497  0.15       0.45      %
715        OMPGLBWS   5     64         2          25         64         0.000430813432  0.000010478497  0.02       0.04      %
716        OMPGLBWS   5     128        2          25         1          0.000041231886  0.000037245080  0.90       90.33     %
717        OMPGLBWS   5     128        2          25         2          0.000033397228  0.000037245080  1.12       55.76     %
718        OMPGLBWS   5     128        2          25         4          0.000039470568  0.000037245080  0.94       23.59     %
719        OMPGLBWS   5     128        2          25         8          0.000030371919  0.000037245080  1.23       15.33     %
720        OMPGLBWS   5     128        2          25         16         0.000036518276  0.000037245080  1.02       6.37      %
721        OMPGLBWS   5     128        2          25         32         0.000068736821  0.000037245080  0.54       1.69      %
722        OMPGLBWS   5     128        2          25         64         0.000507887080  0.000037245080  0.07       0.11      %
723        OMPGLBWS   5     256        2          25         1          0.000052148104  0.000142516941  2.73       273.29    %
724        OMPGLBWS   5     256        2          25         2          0.000074354559  0.000142516941  1.92       95.84     %
725        OMPGLBWS   5     256        2          25         4          0.000056353584  0.000142516941  2.53       63.22     %
726        OMPGLBWS   5     256        2          25         8          0.000049845874  0.000142516941  2.86       35.74     %
727        OMPGLBWS   5     256        2          25         16         0.000049028546  0.000142516941  2.91       18.17     %
728        OMPGLBWS   5     256        2          25         32         0.000074966252  0.000142516941  1.90       5.94      %
729        OMPGLBWS   5     256        2          25         64         0.000454958528  0.000142516941  0.31       0.49      %
730        OMPGLBWS   5     512        2          25         1          0.000263056532  0.000671885535  2.55       255.41    %
731        OMPGLBWS   5     512        2          25         2          0.000296957791  0.000671885535  2.26       113.13    %
732        OMPGLBWS   5     512        2          25         4          0.000193188339  0.000671885535  3.48       86.95     %
733        OMPGLBWS   5     512        2          25         8          0.000137295574  0.000671885535  4.89       61.17     %
734        OMPGLBWS   5     512        2          25         16         0.000106702372  0.000671885535  6.30       39.36     %
735        OMPGLBWS   5     512        2          25         32         0.000119363889  0.000671885535  5.63       17.59     %
736        OMPGLBWS   5     512        2          25         64         0.000479953736  0.000671885535  1.40       2.19      %
737        OMPGLBWS   5     1024       2          25         1          0.001351375505  0.004229971394  3.13       313.01    %
738        OMPGLBWS   5     1024       2          25         2          0.001383709908  0.004229971394  3.06       152.85    %
739        OMPGLBWS   5     1024       2          25         4          0.000945398584  0.004229971394  4.47       111.86    %
740        OMPGLBWS   5     1024       2          25         8          0.000658159330  0.004229971394  6.43       80.34     %
741        OMPGLBWS   5     1024       2          25         16         0.000510049239  0.004229971394  8.29       51.83     %
742        OMPGLBWS   5     1024       2          25         32         0.000509908423  0.004229971394  8.30       25.92     %
743        OMPGLBWS   5     1024       2          25         64         0.000835638493  0.004229971394  5.06       7.91      %
744        OMPGLBWS   5     2048       2          25         1          0.007663659006  0.020209722593  2.64       263.71    %
745        OMPGLBWS   5     2048       2          25         2          0.008662278950  0.020209722593  2.33       116.65    %
746        OMPGLBWS   5     2048       2          25         4          0.005264991149  0.020209722593  3.84       95.96     %
747        OMPGLBWS   5     2048       2          25         8          0.003307989240  0.020209722593  6.11       76.37     %
748        OMPGLBWS   5     2048       2          25         16         0.002134402469  0.020209722593  9.47       59.18     %
749        OMPGLBWS   5     2048       2          25         32         0.001628989726  0.020209722593  12.41      38.77     %
750        OMPGLBWS   5     2048       2          25         64         0.002085341886  0.020209722593  9.69       15.14     %
751        OMPGLBWS   5     4096       2          25         1          0.048957182840  0.100418247283  2.05       205.11    %
752        OMPGLBWS   5     4096       2          25         2          0.040085631981  0.100418247283  2.51       125.25    %
753        OMPGLBWS   5     4096       2          25         4          0.024377809837  0.100418247283  4.12       102.98    %
754        OMPGLBWS   5     4096       2          25         8          0.015787332878  0.100418247283  6.36       79.51     %
755        OMPGLBWS   5     4096       2          25         16         0.009201067686  0.100418247283  10.91      68.21     %
756        OMPGLBWS   5     4096       2          25         32         0.006767590344  0.100418247283  14.84      46.37     %
757        OMPGLBWS   5     4096       2          25         64         0.006409615651  0.100418247283  15.67      24.48     %
1136       OMPGLBWS   5     16         3          25         1          0.000006609410  0.000001839921  0.28       27.84     %
1137       OMPGLBWS   5     16         3          25         2          0.000017784536  0.000001839921  0.10       5.17      %
1138       OMPGLBWS   5     16         3          25         4          0.000030131638  0.000001839921  0.06       1.53      %
1139       OMPGLBWS   5     16         3          25         8          0.000026908889  0.000001839921  0.07       0.85      %
1140       OMPGLBWS   5     16         3          25         16         0.000035836920  0.000001839921  0.05       0.32      %
1141       OMPGLBWS   5     16         3          25         32         0.000074126571  0.000001839921  0.02       0.08      %
1142       OMPGLBWS   5     16         3          25         64         0.000899742916  0.000001839921  0.00       0.00      %
1143       OMPGLBWS   5     32         3          25         1          0.000015861541  0.000005360320  0.34       33.79     %
1144       OMPGLBWS   5     32         3          25         2          0.000013822690  0.000005360320  0.39       19.39     %
1145       OMPGLBWS   5     32         3          25         4          0.000026792660  0.000005360320  0.20       5.00      %
1146       OMPGLBWS   5     32         3          25         8          0.000027867034  0.000005360320  0.19       2.40      %
1147       OMPGLBWS   5     32         3          25         16         0.000036586821  0.000005360320  0.15       0.92      %
1148       OMPGLBWS   5     32         3          25         32         0.000073734298  0.000005360320  0.07       0.23      %
1149       OMPGLBWS   5     32         3          25         64         0.000903329626  0.000005360320  0.01       0.01      %
1150       OMPGLBWS   5     64         3          25         1          0.000035862625  0.000019690767  0.55       54.91     %
1151       OMPGLBWS   5     64         3          25         2          0.000026439875  0.000019690767  0.74       37.24     %
1152       OMPGLBWS   5     64         3          25         4          0.000039123744  0.000019690767  0.50       12.58     %
1153       OMPGLBWS   5     64         3          25         8          0.000029210374  0.000019690767  0.67       8.43      %
1154       OMPGLBWS   5     64         3          25         16         0.000037699193  0.000019690767  0.52       3.26      %
1155       OMPGLBWS   5     64         3          25         32         0.000077435002  0.000019690767  0.25       0.79      %
1156       OMPGLBWS   5     64         3          25         64         0.000946279988  0.000019690767  0.02       0.03      %
1157       OMPGLBWS   5     128        3          25         1          0.000090279430  0.000077657029  0.86       86.02     %
1158       OMPGLBWS   5     128        3          25         2          0.000058801845  0.000077657029  1.32       66.03     %
1159       OMPGLBWS   5     128        3          25         4          0.000060583651  0.000077657029  1.28       32.05     %
1160       OMPGLBWS   5     128        3          25         8          0.000035336241  0.000077657029  2.20       27.47     %
1161       OMPGLBWS   5     128        3          25         16         0.000040581822  0.000077657029  1.91       11.96     %
1162       OMPGLBWS   5     128        3          25         32         0.000079392269  0.000077657029  0.98       3.06      %
1163       OMPGLBWS   5     128        3          25         64         0.000822743773  0.000077657029  0.09       0.15      %
1164       OMPGLBWS   5     256        3          25         1          0.000140939280  0.000327967852  2.33       232.70    %
1165       OMPGLBWS   5     256        3          25         2          0.000125375763  0.000327967852  2.62       130.79    %
1166       OMPGLBWS   5     256        3          25         4          0.000082776695  0.000327967852  3.96       99.05     %
1167       OMPGLBWS   5     256        3          25         8          0.000064190105  0.000327967852  5.11       63.87     %
1168       OMPGLBWS   5     256        3          25         16         0.000058617443  0.000327967852  5.60       34.97     %
1169       OMPGLBWS   5     256        3          25         32         0.000086296722  0.000327967852  3.80       11.88     %
1170       OMPGLBWS   5     256        3          25         64         0.000872310251  0.000327967852  0.38       0.59      %
