N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
317        OMPLOCBB   6     16         1          25         1          0.000009735674  0.000000976771  0.10       10.03     %
318        OMPLOCBB   6     16         1          25         2          0.000018640608  0.000000976771  0.05       2.62      %
319        OMPLOCBB   6     16         1          25         4          0.000029263273  0.000000976771  0.03       0.83      %
320        OMPLOCBB   6     16         1          25         8          0.000028819218  0.000000976771  0.03       0.42      %
321        OMPLOCBB   6     16         1          25         16         0.000040965155  0.000000976771  0.02       0.15      %
322        OMPLOCBB   6     16         1          25         32         0.000082069635  0.000000976771  0.01       0.04      %
323        OMPLOCBB   6     16         1          25         64         0.001047171652  0.000000976771  0.00       0.00      %
324        OMPLOCBB   6     32         1          25         1          0.000013164058  0.000003053620  0.23       23.20     %
325        OMPLOCBB   6     32         1          25         2          0.000017660856  0.000003053620  0.17       8.65      %
326        OMPLOCBB   6     32         1          25         4          0.000027349591  0.000003053620  0.11       2.79      %
327        OMPLOCBB   6     32         1          25         8          0.000028202683  0.000003053620  0.11       1.35      %
328        OMPLOCBB   6     32         1          25         16         0.000037869439  0.000003053620  0.08       0.50      %
329        OMPLOCBB   6     32         1          25         32         0.000081077591  0.000003053620  0.04       0.12      %
330        OMPLOCBB   6     32         1          25         64         0.001063645631  0.000003053620  0.00       0.00      %
331        OMPLOCBB   6     64         1          25         1          0.000019775704  0.000010679290  0.54       54.00     %
332        OMPLOCBB   6     64         1          25         2          0.000022304431  0.000010679290  0.48       23.94     %
333        OMPLOCBB   6     64         1          25         4          0.000030247122  0.000010679290  0.35       8.83      %
334        OMPLOCBB   6     64         1          25         8          0.000030522048  0.000010679290  0.35       4.37      %
335        OMPLOCBB   6     64         1          25         16         0.000039866567  0.000010679290  0.27       1.67      %
336        OMPLOCBB   6     64         1          25         32         0.000082200021  0.000010679290  0.13       0.41      %
337        OMPLOCBB   6     64         1          25         64         0.000993936136  0.000010679290  0.01       0.02      %
338        OMPLOCBB   6     128        1          25         1          0.000019158423  0.000047537312  2.48       248.13    %
