N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
4727       OMPLOCWS   4     16         1          25         1          0.000014193356 
4728       OMPLOCWS   4     16         1          25         1          0.000011414289 
4729       OMPLOCWS   4     16         1          25         1          0.000011127442 
4730       OMPLOCWS   4     16         1          25         1          0.000011328608 
4731       OMPLOCWS   4     16         1          25         1          0.000004075468 
4732       OMPLOCWS   4     16         1          25         1          0.000004030764 
4733       OMPLOCWS   4     16         1          25         1          0.000011146069 
4734       OMPLOCWS   4     16         1          25         1          0.000011291355 
4735       OMPLOCWS   4     16         1          25         1          0.000004045665 
4736       OMPLOCWS   4     16         1          25         1          0.000004090369 
4737       OMPLOCWS   4     16         1          25         1          0.000011365861 
4738       OMPLOCWS   4     16         1          25         1          0.000011224300 
4739       OMPLOCWS   4     16         1          25         1          0.000011246651 
4740       OMPLOCWS   4     16         1          25         1          0.000011377037 
4741       OMPLOCWS   4     16         1          25         1          0.000011399388 
4742       OMPLOCWS   4     16         1          25         1          0.000004135072 
4743       OMPLOCWS   4     16         1          25         1          0.000011187047 
4744       OMPLOCWS   4     16         1          25         1          0.000011183321 
4745       OMPLOCWS   4     16         1          25         1          0.000003982335 
4746       OMPLOCWS   4     16         1          25         1          0.000011313707 
4747       OMPLOCWS   4     16         1          25         1          0.000011261553 
4748       OMPLOCWS   4     16         1          25         1          0.000011436641 
4749       OMPLOCWS   4     16         1          25         1          0.000004038215 
4750       OMPLOCWS   4     16         1          25         1          0.000011131167 
4751       OMPLOCWS   4     16         1          25         1          0.000011131167 
4752       OMPLOCWS   4     16         1          25         2          0.000014219433 
4753       OMPLOCWS   4     16         1          25         2          0.000021796674 
4754       OMPLOCWS   4     16         1          25         2          0.000021547079 
4755       OMPLOCWS   4     16         1          25         2          0.000020753592 
4756       OMPLOCWS   4     16         1          25         2          0.000013515353 
4757       OMPLOCWS   4     16         1          25         2          0.000020090491 
4758       OMPLOCWS   4     16         1          25         2          0.000013183802 
4759       OMPLOCWS   4     16         1          25         2          0.000014074147 
4760       OMPLOCWS   4     16         1          25         2          0.000020876527 
4761       OMPLOCWS   4     16         1          25         2          0.000020172447 
4762       OMPLOCWS   4     16         1          25         2          0.000020716339 
4763       OMPLOCWS   4     16         1          25         2          0.000015009195 
4764       OMPLOCWS   4     16         1          25         2          0.000020455569 
4765       OMPLOCWS   4     16         1          25         2          0.000020176172 
4766       OMPLOCWS   4     16         1          25         2          0.000019956380 
4767       OMPLOCWS   4     16         1          25         2          0.000020660460 
4768       OMPLOCWS   4     16         1          25         2          0.000019952655 
4769       OMPLOCWS   4     16         1          25         2          0.000020429492 
4770       OMPLOCWS   4     16         1          25         2          0.000020008534 
4771       OMPLOCWS   4     16         1          25         2          0.000013291836 
4772       OMPLOCWS   4     16         1          25         2          0.000020008534 
4773       OMPLOCWS   4     16         1          25         2          0.000020239502 
4774       OMPLOCWS   4     16         1          25         2          0.000013817102 
4775       OMPLOCWS   4     16         1          25         2          0.000020284206 
4776       OMPLOCWS   4     16         1          25         2          0.000020392239 
4777       OMPLOCWS   4     16         1          25         4          0.000019080937 
4778       OMPLOCWS   4     16         1          25         4          0.000036854297 
4779       OMPLOCWS   4     16         1          25         4          0.000032179058 
4780       OMPLOCWS   4     16         1          25         4          0.000031430274 
4781       OMPLOCWS   4     16         1          25         4          0.000032078475 
4782       OMPLOCWS   4     16         1          25         4          0.000030726194 
4783       OMPLOCWS   4     16         1          25         4          0.000030193478 
4784       OMPLOCWS   4     16         1          25         4          0.000031948090 
4785       OMPLOCWS   4     16         1          25         4          0.000020038337 
