N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
2          SO0        1     16         1          25         1          0.000000983477 
3          SO0        1     16         1          25         1          0.000001009554 
4          SO0        1     16         1          25         1          0.000000983477 
5          SO0        1     16         1          25         1          0.000000942498 
6          SO0        1     16         1          25         1          0.000000923872 
7          SO0        1     16         1          25         1          0.000000957400 
8          SO0        1     16         1          25         1          0.000000976026 
9          SO0        1     16         1          25         1          0.000000990927 
10         SO0        1     16         1          25         1          0.000000953674 
11         SO0        1     16         1          25         1          0.000000998378 
12         SO0        1     16         1          25         1          0.000001084059 
13         SO0        1     16         1          25         1          0.000000964850 
14         SO0        1     16         1          25         1          0.000000979751 
15         SO0        1     16         1          25         1          0.000001031905 
16         SO0        1     16         1          25         1          0.000000979751 
17         SO0        1     16         1          25         1          0.000001031905 
18         SO0        1     16         1          25         1          0.000000923872 
19         SO0        1     16         1          25         1          0.000000949949 
20         SO0        1     16         1          25         1          0.000000987202 
21         SO0        1     16         1          25         1          0.000000972301 
22         SO0        1     16         1          25         1          0.000000964850 
23         SO0        1     16         1          25         1          0.000000946224 
24         SO0        1     16         1          25         1          0.000000976026 
25         SO0        1     16         1          25         1          0.000001169741 
26         SO0        1     16         1          25         1          0.000001035631 
27         SO0        1     32         1          25         1          0.000002913177 
28         SO0        1     32         1          25         1          0.000003177673 
29         SO0        1     32         1          25         1          0.000003099442 
30         SO0        1     32         1          25         1          0.000002849847 
31         SO0        1     32         1          25         1          0.000003423542 
32         SO0        1     32         1          25         1          0.000003270805 
33         SO0        1     32         1          25         1          0.000002864748 
34         SO0        1     32         1          25         1          0.000003118068 
35         SO0        1     32         1          25         1          0.000003155321 
36         SO0        1     32         1          25         1          0.000002861023 
37         SO0        1     32         1          25         1          0.000003151596 
38         SO0        1     32         1          25         1          0.000003147870 
39         SO0        1     32         1          25         1          0.000002853572 
40         SO0        1     32         1          25         1          0.000002808869 
41         SO0        1     32         1          25         1          0.000003144145 
42         SO0        1     32         1          25         1          0.000003136694 
43         SO0        1     32         1          25         1          0.000002827495 
44         SO0        1     32         1          25         1          0.000003140420 
45         SO0        1     32         1          25         1          0.000003132969 
46         SO0        1     32         1          25         1          0.000002857298 
47         SO0        1     32         1          25         1          0.000003121793 
48         SO0        1     32         1          25         1          0.000002846122 
49         SO0        1     32         1          25         1          0.000003170222 
50         SO0        1     32         1          25         1          0.000003144145 
51         SO0        1     32         1          25         1          0.000002864748 
52         SO0        1     64         1          25         1          0.000010516495 
53         SO0        1     64         1          25         1          0.000011391938 
54         SO0        1     64         1          25         1          0.000010892749 
55         SO0        1     64         1          25         1          0.000010516495 
56         SO0        1     64         1          25         1          0.000011596829 
57         SO0        1     64         1          25         1          0.000010762364 
58         SO0        1     64         1          25         1          0.000010445714 
59         SO0        1     64         1          25         1          0.000010926276 
60         SO0        1     64         1          25         1          0.000010676682 
61         SO0        1     64         1          25         1          0.000010441989 
62         SO0        1     64         1          25         1          0.000011306256 
63         SO0        1     64         1          25         1          0.000010591000 
64         SO0        1     64         1          25         1          0.000010266900 
65         SO0        1     64         1          25         1          0.000011961907 
66         SO0        1     64         1          25         1          0.000010572374 
67         SO0        1     64         1          25         1          0.000010721385 
68         SO0        1     64         1          25         1          0.000010214746 
69         SO0        1     64         1          25         1          0.000010471791 
70         SO0        1     64         1          25         1          0.000010080636 
71         SO0        1     64         1          25         1          0.000011447817 
72         SO0        1     64         1          25         1          0.000011056662 
73         SO0        1     64         1          25         1          0.000011257827 
74         SO0        1     64         1          25         1          0.000010617077 
75         SO0        1     64         1          25         1          0.000010494143 
76         SO0        1     64         1          25         1          0.000011201948 
77         SO0        1     128        1          25         1          0.000037215650 
78         SO0        1     128        1          25         1          0.000047024339 
79         SO0        1     128        1          25         1          0.000054728240 
80         SO0        1     128        1          25         1          0.000048615038 
81         SO0        1     128        1          25         1          0.000048518181 
82         SO0        1     128        1          25         1          0.000044852495 
83         SO0        1     128        1          25         1          0.000048939139 
84         SO0        1     128        1          25         1          0.000048939139 
85         SO0        1     128        1          25         1          0.000043645501 
86         SO0        1     128        1          25         1          0.000049769878 
87         SO0        1     128        1          25         1          0.000047396868 
88         SO0        1     128        1          25         1          0.000045336783 
89         SO0        1     128        1          25         1          0.000047888607 
90         SO0        1     128        1          25         1          0.000047244132 
91         SO0        1     128        1          25         1          0.000043805689 
92         SO0        1     128        1          25         1          0.000047270209 
93         SO0        1     128        1          25         1          0.000044472516 
94         SO0        1     128        1          25         1          0.000049665570 
95         SO0        1     128        1          25         1          0.000047560781 
96         SO0        1     128        1          25         1          0.000045195222 
97         SO0        1     128        1          25         1          0.000050313771 
98         SO0        1     128        1          25         1          0.000048108399 
99         SO0        1     128        1          25         1          0.000045746565 
100        SO0        1     128        1          25         1          0.000049643219 
101        SO0        1     128        1          25         1          0.000048723072 
102        SO0        1     256        1          25         1          0.000148665160 
103        SO0        1     256        1          25         1          0.000222865492 
104        SO0        1     256        1          25         1          0.000223618001 
105        SO0        1     256        1          25         1          0.000231385231 
106        SO0        1     256        1          25         1          0.000190347433 
107        SO0        1     256        1          25         1          0.000225085765 
