N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
1          SO1        1     16         1          20         1          0.000001050000  0.000001050000  1.00       100.00    %
2          SO1        1     32         1          20         1          0.000004900001  0.000004900001  1.00       100.00    %
3          SO1        1     64         1          20         1          0.000012799998  0.000012799998  1.00       100.00    %
4          SO1        1     128        1          20         1          0.000041849988  0.000041849988  1.00       100.00    %
5          SO1        1     256        1          20         1          0.000212600018  0.000212600018  1.00       100.00    %
6          SO1        1     512        1          20         1          0.000808350102  0.000808350102  1.00       100.00    %
7          SO1        1     1024       1          20         1          0.011289250106  0.011289250106  1.00       100.00    %
8          SO1        1     2048       1          20         1          0.050799839199  0.050799839199  1.00       100.00    %
9          SO1        1     4096       1          20         1          0.223198652267  0.223198652267  1.00       100.00    %
10         SO2        1     16         1          20         1          0.000001500000  0.000001500000  1.00       100.00    %
11         SO2        1     32         1          20         1          0.000004800001  0.000004800001  1.00       100.00    %
12         SO2        1     64         1          20         1          0.000014199999  0.000014199999  1.00       100.00    %
13         SO2        1     128        1          20         1          0.000052399992  0.000052399992  1.00       100.00    %
14         SO2        1     256        1          20         1          0.000224150019  0.000224150019  1.00       100.00    %
15         SO2        1     512        1          20         1          0.000680400000  0.000680400000  1.00       100.00    %
16         SO2        1     1024       1          20         1          0.006889899727  0.006889899727  1.00       100.00    %
17         SO2        1     2048       1          20         1          0.044203050435  0.044203050435  1.00       100.00    %
18         SO2        1     4096       1          20         1          0.202302649617  0.202302649617  1.00       100.00    %
19         SO3        1     16         1          20         1          0.000001550000  0.000001550000  1.00       100.00    %
20         SO3        1     32         1          20         1          0.000004650001  0.000004650001  1.00       100.00    %
21         SO3        1     64         1          20         1          0.000013350002  0.000013350002  1.00       100.00    %
22         SO3        1     128        1          20         1          0.000055799996  0.000055799996  1.00       100.00    %
23         SO3        1     256        1          20         1          0.000232799997  0.000232799997  1.00       100.00    %
24         SO3        1     512        1          20         1          0.000681849953  0.000681849953  1.00       100.00    %
25         SO3        1     1024       1          20         1          0.003763700603  0.003763700603  1.00       100.00    %
26         SO3        1     2048       1          20         1          0.046169154346  0.046169154346  1.00       100.00    %
27         SO3        1     4096       1          20         1          0.204016610980  0.204016610980  1.00       100.00    %
28         IO1        2     16         1          20         1          0.000001700000  0.000001050000  0.62       61.76     %
29         IO1        2     32         1          20         1          0.000006600001  0.000004900001  0.74       74.24     %
30         IO1        2     64         1          20         1          0.000017650005  0.000012799998  0.73       72.52     %
31         IO1        2     128        1          20         1          0.000068550005  0.000041849988  0.61       61.05     %
32         IO1        2     256        1          20         1          0.000300299987  0.000212600018  0.71       70.80     %
33         IO1        2     512        1          20         1          0.000895200006  0.000808350102  0.90       90.30     %
34         IO1        2     1024       1          20         1          0.004898899235  0.011289250106  2.30       230.44    %
35         IO1        2     2048       1          20         1          0.036410350353  0.050799839199  1.40       139.52    %
36         IO1        2     4096       1          20         1          0.157876610756  0.223198652267  1.41       141.38    %
37         IO2        2     16         1          20         1          0.000000800000  0.000001050000  1.31       131.25    %
38         IO2        2     32         1          20         1          0.000003450000  0.000004900001  1.42       142.03    %
39         IO2        2     64         1          20         1          0.000011699998  0.000012799998  1.09       109.40    %
40         IO2        2     128        1          20         1          0.000037850001  0.000041849988  1.11       110.57    %
41         IO2        2     256        1          20         1          0.000205849996  0.000212600018  1.03       103.28    %
42         IO2        2     512        1          20         1          0.000670399982  0.000808350102  1.21       120.58    %
43         IO2        2     1024       1          20         1          0.006494100206  0.011289250106  1.74       173.84    %
44         IO2        2     2048       1          20         1          0.038854353130  0.050799839199  1.31       130.74    %
45         IO2        2     4096       1          20         1          0.163603499532  0.223198652267  1.36       136.43    %
46         IO2M       2     16         1          20         1          0.000000600000  0.000001050000  1.75       175.00    %
47         IO2M       2     32         1          20         1          0.000003850001  0.000004900001  1.27       127.27    %
48         IO2M       2     64         1          20         1          0.000010000001  0.000012799998  1.28       128.00    %
49         IO2M       2     128        1          20         1          0.000041049996  0.000041849988  1.02       101.95    %
50         IO2M       2     256        1          20         1          0.000187550017  0.000212600018  1.13       113.36    %
51         IO2M       2     512        1          20         1          0.000926950015  0.000808350102  0.87       87.21     %
52         IO2M       2     1024       1          20         1          0.005554249976  0.011289250106  2.03       203.25    %
53         IO2M       2     2048       1          20         1          0.035572599620  0.050799839199  1.43       142.81    %
54         IO2M       2     4096       1          20         1          0.158623144031  0.223198652267  1.41       140.71    %
55         IO2FUN     2     16         1          20         1          0.000000950000  0.000001050000  1.11       110.53    %
56         IO2FUN     2     32         1          20         1          0.000004750001  0.000004900001  1.03       103.16    %
57         IO2FUN     2     64         1          20         1          0.000013600000  0.000012799998  0.94       94.12     %
58         IO2FUN     2     128        1          20         1          0.000055399993  0.000041849988  0.76       75.54     %
59         IO2FUN     2     256        1          20         1          0.000228650009  0.000212600018  0.93       92.98     %
60         IO2FUN     2     512        1          20         1          0.002631949726  0.000808350102  0.31       30.71     %
61         IO2FUN     2     1024       1          20         1          0.009791449644  0.011289250106  1.15       115.30    %
62         IO2FUN     2     2048       1          20         1          0.043527398258  0.050799839199  1.17       116.71    %
63         IO2FUN     2     4096       1          20         1          0.161081805825  0.223198652267  1.39       138.56    %
64         IO2PLA     2     16         1          20         1          0.000000600000  0.000001050000  1.75       175.00    %
65         IO2PLA     2     32         1          20         1          0.000003250000  0.000004900001  1.51       150.77    %
66         IO2PLA     2     64         1          20         1          0.000011399999  0.000012799998  1.12       112.28    %
67         IO2PLA     2     128        1          20         1          0.000046999990  0.000041849988  0.89       89.04     %
68         IO2PLA     2     256        1          20         1          0.000258999993  0.000212600018  0.82       82.08     %
69         IO2PLA     2     512        1          20         1          0.000790049962  0.000808350102  1.02       102.32    %
70         IO2PLA     2     1024       1          20         1          0.005494949874  0.011289250106  2.05       205.45    %
71         IO2PLA     2     2048       1          20         1          0.042014651000  0.050799839199  1.21       120.91    %
72         IO2PLA     2     4096       1          20         1          0.146401762962  0.223198652267  1.52       152.46    %
73         IO2FTV     2     16         1          20         1          0.000001650000  0.000001050000  0.64       63.64     %
74         IO2FTV     2     32         1          20         1          0.000004700001  0.000004900001  1.04       104.26    %
75         IO2FTV     2     64         1          20         1          0.000011699997  0.000012799998  1.09       109.40    %
76         IO2FTV     2     128        1          20         1          0.000054299999  0.000041849988  0.77       77.07     %
77         IO2FTV     2     256        1          20         1          0.000258349988  0.000212600018  0.82       82.29     %
78         IO2FTV     2     512        1          20         1          0.000645049964  0.000808350102  1.25       125.32    %
79         IO2FTV     2     1024       1          20         1          0.009091399610  0.011289250106  1.24       124.18    %
80         IO2FTV     2     2048       1          20         1          0.037418648601  0.050799839199  1.36       135.76    %
81         IO2FTV     2     4096       1          20         1          0.175372987986  0.223198652267  1.27       127.27    %
82         IO2FM      2     16         1          20         1          0.000001500000  0.000001050000  0.70       70.00     %
83         IO2FM      2     32         1          20         1          0.000004600001  0.000004900001  1.07       106.52    %
84         IO2FM      2     64         1          20         1          0.000013950000  0.000012799998  0.92       91.76     %
85         IO2FM      2     128        1          20         1          0.000053649994  0.000041849988  0.78       78.01     %
86         IO2FM      2     256        1          20         1          0.000298849947  0.000212600018  0.71       71.14     %
87         IO2FM      2     512        1          20         1          0.000830699981  0.000808350102  0.97       97.31     %
88         IO2FM      2     1024       1          20         1          0.005591150373  0.011289250106  2.02       201.91    %
89         IO2FM      2     2048       1          20         1          0.038256447762  0.050799839199  1.33       132.79    %
90         IO2FM      2     4096       1          20         1          0.154148206115  0.223198652267  1.45       144.79    %
91         IO2FL      2     16         1          20         1          0.000001700000  0.000001050000  0.62       61.76     %
92         IO2FL      2     32         1          20         1          0.000006450000  0.000004900001  0.76       75.97     %
93         IO2FL      2     64         1          20         1          0.000017500004  0.000012799998  0.73       73.14     %
94         IO2FL      2     128        1          20         1          0.000064250002  0.000041849988  0.65       65.14     %
95         IO2FL      2     256        1          20         1          0.000318350008  0.000212600018  0.67       66.78     %
96         IO2FL      2     512        1          20         1          0.000779249996  0.000808350102  1.04       103.73    %
97         IO2FL      2     1024       1          20         1          0.008661950007  0.011289250106  1.30       130.33    %
98         IO2FL      2     2048       1          20         1          0.034473199397  0.050799839199  1.47       147.36    %
99         IO2FL      2     4096       1          20         1          0.139682859182  0.223198652267  1.60       159.79    %
100        IO2FA      2     16         1          20         1          0.000002250000  0.000001050000  0.47       46.67     %
101        IO2FA      2     32         1          20         1          0.000007350000  0.000004900001  0.67       66.67     %
102        IO2FA      2     64         1          20         1          0.000020099997  0.000012799998  0.64       63.68     %
103        IO2FA      2     128        1          20         1          0.000076849996  0.000041849988  0.54       54.46     %
104        IO2FA      2     256        1          20         1          0.000309650000  0.000212600018  0.69       68.66     %
105        IO2FA      2     512        1          20         1          0.000891099975  0.000808350102  0.91       90.71     %
