N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
326        OMP12      5     16         1          20         1          0.000002795085  0.000001050000  0.38       37.57     %
327        OMP12      5     16         1          20         2          0.000010566786  0.000001050000  0.10       4.97      %
328        OMP12      5     16         1          20         4          0.000014219806  0.000001050000  0.07       1.85      %
329        OMP12      5     16         1          20         8          0.023610366508  0.000001050000  0.00       0.00      %
330        OMP12      5     16         1          20         16         0.047076351941  0.000001050000  0.00       0.00      %
331        OMP12      5     16         1          20         32         0.053880095482  0.000001050000  0.00       0.00      %
332        OMP12      5     16         1          20         64         0.075829140842  0.000001050000  0.00       0.00      %
333        OMP12      5     32         1          20         1          0.000003905408  0.000004900001  1.25       125.47    %
334        OMP12      5     32         1          20         2          0.000008970313  0.000004900001  0.55       27.31     %
335        OMP12      5     32         1          20         4          0.000010591373  0.000004900001  0.46       11.57     %
336        OMP12      5     32         1          20         8          0.023517971858  0.000004900001  0.00       0.00      %
337        OMP12      5     32         1          20         16         0.048218928277  0.000004900001  0.00       0.00      %
338        OMP12      5     32         1          20         32         0.051364444196  0.000004900001  0.00       0.00      %
339        OMP12      5     32         1          20         64         0.070232957602  0.000004900001  0.00       0.00      %
340        OMP12      5     64         1          20         1          0.000008361041  0.000012799998  1.53       153.09    %
341        OMP12      5     64         1          20         2          0.000011334196  0.000012799998  1.13       56.47     %
342        OMP12      5     64         1          20         4          0.004165362101  0.000012799998  0.00       0.08      %
343        OMP12      5     64         1          20         8          0.000745128666  0.000012799998  0.02       0.21      %
344        OMP12      5     64         1          20         16         0.010673817247  0.000012799998  0.00       0.01      %
345        OMP12      5     64         1          20         32         0.014729334041  0.000012799998  0.00       0.00      %
346        OMP12      5     64         1          20         64         0.067926779389  0.000012799998  0.00       0.00      %
347        OMP12      5     128        1          20         1          0.000075954202  0.000041849988  0.55       55.10     %
348        OMP12      5     128        1          20         2          0.000081160477  0.000041849988  0.52       25.78     %
349        OMP12      5     128        1          20         4          0.000083809718  0.000041849988  0.50       12.48     %
350        OMP12      5     128        1          20         8          0.028731476516  0.000041849988  0.00       0.02      %
351        OMP12      5     128        1          20         16         0.049912501127  0.000041849988  0.00       0.01      %
352        OMP12      5     128        1          20         32         0.051452994347  0.000041849988  0.00       0.00      %
353        OMP12      5     128        1          20         64         0.055213272572  0.000041849988  0.00       0.00      %
354        OMP12      5     256        1          20         1          0.000165958889  0.000212600018  1.28       128.10    %
355        OMP12      5     256        1          20         2          0.000215171094  0.000212600018  0.99       49.40     %
356        OMP12      5     256        1          20         4          0.000214834887  0.000212600018  0.99       24.74     %
357        OMP12      5     256        1          20         8          0.023078050464  0.000212600018  0.01       0.12      %
358        OMP12      5     256        1          20         16         0.046541579068  0.000212600018  0.00       0.03      %
359        OMP12      5     256        1          20         32         0.054114781320  0.000212600018  0.00       0.01      %
360        OMP12      5     256        1          20         64         0.056150436401  0.000212600018  0.00       0.01      %
361        OMP12      5     512        1          20         1          0.000739985902  0.000808350102  1.09       109.24    %
362        OMP12      5     512        1          20         2          0.000735516660  0.000808350102  1.10       54.95     %
363        OMP12      5     512        1          20         4          0.000708295964  0.000808350102  1.14       28.53     %
364        OMP12      5     512        1          20         8          0.023293618113  0.000808350102  0.03       0.43      %
365        OMP12      5     512        1          20         16         0.040995832533  0.000808350102  0.02       0.12      %
366        OMP12      5     512        1          20         32         0.032448031008  0.000808350102  0.02       0.08      %
367        OMP12      5     512        1          20         64         0.076771929860  0.000808350102  0.01       0.02      %
368        OMP12      5     1024       1          20         1          0.003151711076  0.011289250106  3.58       358.19    %
369        OMP12      5     1024       1          20         2          0.004133581184  0.011289250106  2.73       136.56    %
370        OMP12      5     1024       1          20         4          0.003970188554  0.011289250106  2.84       71.09     %
371        OMP12      5     1024       1          20         8          0.023539574817  0.011289250106  0.48       5.99      %
372        OMP12      5     1024       1          20         16         0.036276191473  0.011289250106  0.31       1.95      %
373        OMP12      5     1024       1          20         32         0.049758218229  0.011289250106  0.23       0.71      %
374        OMP12      5     1024       1          20         64         0.102708496153  0.011289250106  0.11       0.17      %
375        OMP12      5     2048       1          20         1          0.046121630818  0.050799839199  1.10       110.14    %
376        OMP12      5     2048       1          20         2          0.033594332635  0.050799839199  1.51       75.61     %
377        OMP12      5     2048       1          20         4          0.032808933407  0.050799839199  1.55       38.71     %
378        OMP12      5     2048       1          20         8          0.048225104809  0.050799839199  1.05       13.17     %
379        OMP12      5     2048       1          20         16         0.052794069052  0.050799839199  0.96       6.01      %
380        OMP12      5     2048       1          20         32         0.070051133633  0.050799839199  0.73       2.27      %
381        OMP12      5     2048       1          20         64         0.120192371309  0.050799839199  0.42       0.66      %
382        OMP12      5     4096       1          20         1          0.209368199110  0.223198652267  1.07       106.61    %
383        OMP12      5     4096       1          20         2          0.146280974150  0.223198652267  1.53       76.29     %
384        OMP12      5     4096       1          20         4          0.101301595569  0.223198652267  2.20       55.08     %
385        OMP12      5     4096       1          20         8          0.083141699433  0.223198652267  2.68       33.56     %
386        OMP12      5     4096       1          20         16         0.094164676964  0.223198652267  2.37       14.81     %
387        OMP12      5     4096       1          20         32         0.132452413440  0.223198652267  1.69       5.27      %
388        OMP12      5     4096       1          20         64         0.135786861181  0.223198652267  1.64       2.57      %
947        OMP12      5     16         2          20         1          0.000001321733  0.000000300000  0.23       22.70     %
948        OMP12      5     16         2          20         2          0.000006433204  0.000000300000  0.05       2.33      %
949        OMP12      5     16         2          20         4          0.000005010143  0.000000300000  0.06       1.50      %
950        OMP12      5     16         2          20         8          0.014212159440  0.000000300000  0.00       0.00      %
951        OMP12      5     16         2          20         16         0.028422426432  0.000000300000  0.00       0.00      %
952        OMP12      5     16         2          20         32         0.032654002309  0.000000300000  0.00       0.00      %
953        OMP12      5     16         2          20         64         0.053415555507  0.000000300000  0.00       0.00      %
954        OMP12      5     32         2          20         1          0.000001875311  0.000001450000  0.77       77.32     %
955        OMP12      5     32         2          20         2          0.000004983321  0.000001450000  0.29       14.55     %
956        OMP12      5     32         2          20         4          0.000008082762  0.000001450000  0.18       4.48      %
957        OMP12      5     32         2          20         8          0.014179985039  0.000001450000  0.00       0.00      %
958        OMP12      5     32         2          20         16         0.028808001429  0.000001450000  0.00       0.00      %
959        OMP12      5     32         2          20         32         0.048558313400  0.000001450000  0.00       0.00      %
960        OMP12      5     32         2          20         64         0.043855238706  0.000001450000  0.00       0.00      %
961        OMP12      5     64         2          20         1          0.000004895218  0.000005750001  1.17       117.46    %
962        OMP12      5     64         2          20         2          0.000022846833  0.000005750001  0.25       12.58     %
963        OMP12      5     64         2          20         4          0.000058973023  0.000005750001  0.10       2.44      %
964        OMP12      5     64         2          20         8          0.015299662948  0.000005750001  0.00       0.00      %
965        OMP12      5     64         2          20         16         0.029713058844  0.000005750001  0.00       0.00      %
966        OMP12      5     64         2          20         32         0.044459380209  0.000005750001  0.00       0.00      %
967        OMP12      5     64         2          20         64         0.040337733924  0.000005750001  0.00       0.00      %
968        OMP12      5     128        2          20         1          0.000009449385  0.000019400000  2.05       205.30    %
969        OMP12      5     128        2          20         2          0.000021359883  0.000019400000  0.91       45.41     %
970        OMP12      5     128        2          20         4          0.000015951879  0.000019400000  1.22       30.40     %
971        OMP12      5     128        2          20         8          0.004950796720  0.000019400000  0.00       0.05      %
972        OMP12      5     128        2          20         16         0.004104930442  0.000019400000  0.00       0.03      %
973        OMP12      5     128        2          20         32         0.044097967446  0.000019400000  0.00       0.00      %
974        OMP12      5     128        2          20         64         0.046218175441  0.000019400000  0.00       0.00      %
975        OMP12      5     256        2          20         1          0.000047047437  0.000055349996  1.18       117.65    %
976        OMP12      5     256        2          20         2          0.000110876746  0.000055349996  0.50       24.96     %
977        OMP12      5     256        2          20         4          0.003058478702  0.000055349996  0.02       0.45      %
978        OMP12      5     256        2          20         8          0.000043947621  0.000055349996  1.26       15.74     %
979        OMP12      5     256        2          20         16         0.006757714786  0.000055349996  0.01       0.05      %
980        OMP12      5     256        2          20         32         0.042833734304  0.000055349996  0.00       0.00      %
981        OMP12      5     256        2          20         64         0.045457202941  0.000055349996  0.00       0.00      %
