N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
101        R2         3     16         1          25         1          0.000000905991  0.000000521541  0.58       57.57     %
102        R2         3     32         1          25         1          0.000002002716  0.000001730025  0.86       86.38     %
103        R2         3     64         1          25         1          0.000006479025  0.000005583465  0.86       86.18     %
104        R2         3     128        1          25         1          0.000021873415  0.000028602779  1.31       130.77    %
105        R2         3     256        1          25         1          0.000069479647  0.000158025330  2.27       227.44    %
106        R2         3     512        1          25         1          0.000167120990  0.000298035156  1.78       178.33    %
107        R2         3     1024       1          25         1          0.000730478787  0.001366454409  1.87       187.06    %
108        R2         3     2048       1          25         1          0.009721683338  0.020654620603  2.12       212.46    %
109        R2         3     4096       1          25         1          0.051152057946  0.094484351575  1.85       184.71    %
110        R2M        3     16         1          25         1          0.000000831485  0.000000521541  0.63       62.72     %
111        R2M        3     32         1          25         1          0.000002114475  0.000001730025  0.82       81.82     %
112        R2M        3     64         1          25         1          0.000006356835  0.000005583465  0.88       87.83     %
113        R2M        3     128        1          25         1          0.000021716953  0.000028602779  1.32       131.71    %
114        R2M        3     256        1          25         1          0.000080482663  0.000158025330  1.96       196.35    %
115        R2M        3     512        1          25         1          0.000167027116  0.000298035156  1.78       178.44    %
116        R2M        3     1024       1          25         1          0.000733041787  0.001366454409  1.86       186.41    %
117        R2M        3     2048       1          25         1          0.009759845212  0.020654620603  2.12       211.63    %
118        R2M        3     4096       1          25         1          0.051233243197  0.094484351575  1.84       184.42    %
119        R2FTV      3     16         1          25         1          0.000000749528  0.000000521541  0.70       69.58     %
120        R2FTV      3     32         1          25         1          0.000001953542  0.000001730025  0.89       88.56     %
121        R2FTV      3     64         1          25         1          0.000005760789  0.000005583465  0.97       96.92     %
122        R2FTV      3     128        1          25         1          0.000027844309  0.000028602779  1.03       102.72    %
123        R2FTV      3     256        1          25         1          0.000078013538  0.000158025330  2.03       202.56    %
124        R2FTV      3     512        1          25         1          0.000168626008  0.000298035156  1.77       176.74    %
125        R2FTV      3     1024       1          25         1          0.000729595136  0.001366454409  1.87       187.29    %
126        R2FTV      3     2048       1          25         1          0.009768049233  0.020654620603  2.11       211.45    %
127        R2FTV      3     4096       1          25         1          0.051196318120  0.094484351575  1.85       184.55    %
128        R2FUN      3     16         1          25         1          0.000000874698  0.000000521541  0.60       59.63     %
129        R2FUN      3     32         1          25         1          0.000001905859  0.000001730025  0.91       90.77     %
130        R2FUN      3     64         1          25         1          0.000006040931  0.000005583465  0.92       92.43     %
131        R2FUN      3     128        1          25         1          0.000030009449  0.000028602779  0.95       95.31     %
132        R2FUN      3     256        1          25         1          0.000083224477  0.000158025330  1.90       189.88    %
133        R2FUN      3     512        1          25         1          0.000167234248  0.000298035156  1.78       178.21    %
134        R2FUN      3     1024       1          25         1          0.000728864979  0.001366454409  1.87       187.48    %
135        R2FUN      3     2048       1          25         1          0.009689544328  0.020654620603  2.13       213.16    %
136        R2FUN      3     4096       1          25         1          0.051150523126  0.094484351575  1.85       184.72    %
137        R2PLA      3     16         1          25         1          0.000000868738  0.000000521541  0.60       60.03     %
138        R2PLA      3     32         1          25         1          0.000002196431  0.000001730025  0.79       78.77     %
139        R2PLA      3     64         1          25         1          0.000008109212  0.000005583465  0.69       68.85     %
140        R2PLA      3     128        1          25         1          0.000021344424  0.000028602779  1.34       134.01    %
141        R2PLA      3     256        1          25         1          0.000078617035  0.000158025330  2.01       201.01    %
142        R2PLA      3     512        1          25         1          0.000165843958  0.000298035156  1.80       179.71    %
143        R2PLA      3     1024       1          25         1          0.000714804220  0.001366454409  1.91       191.16    %
144        R2PLA      3     2048       1          25         1          0.009557749145  0.020654620603  2.16       216.10    %
145        R2PLA      3     4096       1          25         1          0.050992883742  0.094484351575  1.85       185.29    %
146        R2FTVFUN   3     16         1          25         1          0.000000971556  0.000000521541  0.54       53.68     %
147        R2FTVFUN   3     32         1          25         1          0.000002059340  0.000001730025  0.84       84.01     %
148        R2FTVFUN   3     64         1          25         1          0.000008141995  0.000005583465  0.69       68.58     %
149        R2FTVFUN   3     128        1          25         1          0.000030115247  0.000028602779  0.95       94.98     %
150        R2FTVFUN   3     256        1          25         1          0.000078792873  0.000158025330  2.01       200.56    %
151        R2FTVFUN   3     512        1          25         1          0.000166718659  0.000298035156  1.79       178.77    %
152        R2FTVFUN   3     1024       1          25         1          0.000714996480  0.001366454409  1.91       191.11    %
153        R2FTVFUN   3     2048       1          25         1          0.009580773301  0.020654620603  2.16       215.58    %
154        R2FTVFUN   3     4096       1          25         1          0.051002562046  0.094484351575  1.85       185.25    %
155        R2FM       3     16         1          25         1          0.000000874698  0.000000521541  0.60       59.63     %
156        R2FM       3     32         1          25         1          0.000002381206  0.000001730025  0.73       72.65     %
157        R2FM       3     64         1          25         1          0.000007757544  0.000005583465  0.72       71.97     %
158        R2FM       3     128        1          25         1          0.000028891862  0.000028602779  0.99       99.00     %
159        R2FM       3     256        1          25         1          0.000085175037  0.000158025330  1.86       185.53    %
160        R2FM       3     512        1          25         1          0.000167149308  0.000298035156  1.78       178.30    %
161        R2FM       3     1024       1          25         1          0.000717604184  0.001366454409  1.90       190.42    %
162        R2FM       3     2048       1          25         1          0.009574580006  0.020654620603  2.16       215.72    %
163        R2FM       3     4096       1          25         1          0.051163297147  0.094484351575  1.85       184.67    %
164        R2FL       3     16         1          25         1          0.000000907481  0.000000521541  0.57       57.47     %
165        R2FL       3     32         1          25         1          0.000002442300  0.000001730025  0.71       70.84     %
166        R2FL       3     64         1          25         1          0.000008223951  0.000005583465  0.68       67.89     %
167        R2FL       3     128        1          25         1          0.000030489266  0.000028602779  0.94       93.81     %
168        R2FL       3     256        1          25         1          0.000078046323  0.000158025330  2.02       202.48    %
169        R2FL       3     512        1          25         1          0.000166110694  0.000298035156  1.79       179.42    %
170        R2FL       3     1024       1          25         1          0.000719785690  0.001366454409  1.90       189.84    %
171        R2FL       3     2048       1          25         1          0.009560817853  0.020654620603  2.16       216.03    %
172        R2FL       3     4096       1          25         1          0.050989877433  0.094484351575  1.85       185.30    %
173        R2FA       3     16         1          25         1          0.000000797212  0.000000521541  0.65       65.42     %
174        R2FA       3     32         1          25         1          0.000002443790  0.000001730025  0.71       70.79     %
175        R2FA       3     64         1          25         1          0.000007258356  0.000005583465  0.77       76.92     %
176        R2FA       3     128        1          25         1          0.000029364228  0.000028602779  0.97       97.41     %
177        R2FA       3     256        1          25         1          0.000081692633  0.000158025330  1.93       193.44    %
178        R2FA       3     512        1          25         1          0.000164893267  0.000298035156  1.81       180.74    %
179        R2FA       3     1024       1          25         1          0.000722473837  0.001366454409  1.89       189.14    %
180        R2FA       3     2048       1          25         1          0.009579499252  0.020654620603  2.16       215.61    %
181        R2FA       3     4096       1          25         1          0.051068443805  0.094484351575  1.85       185.02    %
182        R2DEF      3     16         1          25         1          0.000001135468  0.000000521541  0.46       45.93     %
183        R2DEF      3     32         1          25         1          0.000002452731  0.000001730025  0.71       70.53     %
184        R2DEF      3     64         1          25         1          0.000007860363  0.000005583465  0.71       71.03     %
185        R2DEF      3     128        1          25         1          0.000029852987  0.000028602779  0.96       95.81     %
186        R2DEF      3     256        1          25         1          0.000078792873  0.000158025330  2.01       200.56    %
187        R2DEF      3     512        1          25         1          0.000168319049  0.000298035156  1.77       177.07    %
188        R2DEF      3     1024       1          25         1          0.000722427678  0.001366454409  1.89       189.15    %
189        R2DEF      3     2048       1          25         1          0.009599877521  0.020654620603  2.15       215.16    %
190        R2DEF      3     4096       1          25         1          0.051079034805  0.094484351575  1.85       184.98    %
452        R2         3     16         2          25         1          0.000000984967  0.000000616908  0.63       62.63     %
453        R2         3     32         2          25         1          0.000003018975  0.000003753602  1.24       124.33    %
454        R2         3     64         2          25         1          0.000002890825  0.000002609193  0.90       90.26     %
455        R2         3     128        2          25         1          0.000022403896  0.000020067393  0.90       89.57     %
456        R2         3     256        2          25         1          0.000023852288  0.000019524992  0.82       81.86     %
457        R2         3     512        2          25         1          0.000097197291  0.000091032685  0.94       93.66     %
458        R2         3     1024       2          25         1          0.000564223505  0.000582744193  1.03       103.28    %
459        R2         3     2048       2          25         1          0.002949821996  0.004634393845  1.57       157.11    %
460        R2         3     4096       2          25         1          0.015512039885  0.029322599992  1.89       189.03    %
461        R2M        3     16         2          25         1          0.000000654161  0.000000616908  0.94       94.31     %
462        R2M        3     32         2          25         1          0.000005336106  0.000003753602  0.70       70.34     %
463        R2M        3     64         2          25         1          0.000004632771  0.000002609193  0.56       56.32     %
464        R2M        3     128        2          25         1          0.000011061132  0.000020067393  1.81       181.42    %
