N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
2          SO0        1     16         1          25         1          0.000000521541  0.000000521541  1.00       100.00    %
3          SO0        1     32         1          25         1          0.000001730025  0.000001730025  1.00       100.00    %
4          SO0        1     64         1          25         1          0.000005583465  0.000005583465  1.00       100.00    %
5          SO0        1     128        1          25         1          0.000028602779  0.000028602779  1.00       100.00    %
6          SO0        1     256        1          25         1          0.000158025330  0.000158025330  1.00       100.00    %
7          SO0        1     512        1          25         1          0.000298035156  0.000298035156  1.00       100.00    %
8          SO0        1     1024       1          25         1          0.001366454409  0.001366454409  1.00       100.00    %
9          SO0        1     2048       1          25         1          0.020654620603  0.020654620603  1.00       100.00    %
10         SO0        1     4096       1          25         1          0.094484351575  0.094484351575  1.00       100.00    %
443        SO0        1     16         2          25         1          0.000000616908  0.000000616908  1.00       100.00    %
444        SO0        1     32         2          25         1          0.000003753602  0.000003753602  1.00       100.00    %
445        SO0        1     64         2          25         1          0.000002609193  0.000002609193  1.00       100.00    %
446        SO0        1     128        2          25         1          0.000020067393  0.000020067393  1.00       100.00    %
447        SO0        1     256        2          25         1          0.000019524992  0.000019524992  1.00       100.00    %
448        SO0        1     512        2          25         1          0.000091032685  0.000091032685  1.00       100.00    %
449        SO0        1     1024       2          25         1          0.000582744193  0.000582744193  1.00       100.00    %
450        SO0        1     2048       2          25         1          0.004634393845  0.004634393845  1.00       100.00    %
451        SO0        1     4096       2          25         1          0.029322599992  0.029322599992  1.00       100.00    %
794        SO0        1     16         3          25         1          0.000001128018  0.000001128018  1.00       100.00    %
795        SO0        1     32         3          25         1          0.000003051758  0.000003051758  1.00       100.00    %
796        SO0        1     64         3          25         1          0.000005598366  0.000005598366  1.00       100.00    %
797        SO0        1     128        3          25         1          0.000031365453  0.000031365453  1.00       100.00    %
798        SO0        1     256        3          25         1          0.000059112906  0.000059112906  1.00       100.00    %
799        SO0        1     512        3          25         1          0.000378753233  0.000378753233  1.00       100.00    %
800        SO0        1     1024       3          25         1          0.001782333828  0.001782333828  1.00       100.00    %
801        SO0        1     2048       3          25         1          0.025344759226  0.025344759226  1.00       100.00    %
802        SO0        1     4096       3          25         1          0.123101949692  0.123101949692  1.00       100.00    %
