N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
227        I2         2     16         1          25         1          0.000000573695 
228        I2         2     16         1          25         1          0.000001057982 
229        I2         2     16         1          25         1          0.000001154840 
230        I2         2     16         1          25         1          0.000001281500 
231        I2         2     16         1          25         1          0.000000998378 
232        I2         2     16         1          25         1          0.000000275671 
233        I2         2     16         1          25         1          0.000000700355 
234        I2         2     16         1          25         1          0.000000424683 
235        I2         2     16         1          25         1          0.000000290573 
236        I2         2     16         1          25         1          0.000000260770 
237        I2         2     16         1          25         1          0.000000968575 
238        I2         2     16         1          25         1          0.000001035631 
239        I2         2     16         1          25         1          0.000001020730 
240        I2         2     16         1          25         1          0.000000283122 
241        I2         2     16         1          25         1          0.000000722706 
242        I2         2     16         1          25         1          0.000000819564 
243        I2         2     16         1          25         1          0.000000938773 
244        I2         2     16         1          25         1          0.000000998378 
245        I2         2     16         1          25         1          0.000000365078 
246        I2         2     16         1          25         1          0.000000290573 
247        I2         2     16         1          25         1          0.000000342727 
248        I2         2     16         1          25         1          0.000000849366 
249        I2         2     16         1          25         1          0.000000759959 
250        I2         2     16         1          25         1          0.000000759959 
251        I2         2     16         1          25         1          0.000000692904 
252        I2         2     32         1          25         1          0.000001080334 
253        I2         2     32         1          25         1          0.000002749264 
254        I2         2     32         1          25         1          0.000002972782 
255        I2         2     32         1          25         1          0.000002935529 
256        I2         2     32         1          25         1          0.000001475215 
257        I2         2     32         1          25         1          0.000002793968 
258        I2         2     32         1          25         1          0.000002697110 
259        I2         2     32         1          25         1          0.000002719462 
260        I2         2     32         1          25         1          0.000002369285 
261        I2         2     32         1          25         1          0.000002309680 
262        I2         2     32         1          25         1          0.000001400709 
263        I2         2     32         1          25         1          0.000001296401 
264        I2         2     32         1          25         1          0.000002771616 
265        I2         2     32         1          25         1          0.000002637506 
266        I2         2     32         1          25         1          0.000000819564 
267        I2         2     32         1          25         1          0.000002451241 
268        I2         2     32         1          25         1          0.000002458692 
269        I2         2     32         1          25         1          0.000003039837 
270        I2         2     32         1          25         1          0.000002861023 
271        I2         2     32         1          25         1          0.000002548099 
272        I2         2     32         1          25         1          0.000002332032 
273        I2         2     32         1          25         1          0.000002287328 
274        I2         2     32         1          25         1          0.000002346933 
275        I2         2     32         1          25         1          0.000002257526 
276        I2         2     32         1          25         1          0.000002220273 
277        I2         2     64         1          25         1          0.000003039837 
278        I2         2     64         1          25         1          0.000009112060 
279        I2         2     64         1          25         1          0.000008173287 
280        I2         2     64         1          25         1          0.000009231269 
281        I2         2     64         1          25         1          0.000003807247 
282        I2         2     64         1          25         1          0.000009573996 
283        I2         2     64         1          25         1          0.000003322959 
284        I2         2     64         1          25         1          0.000009059906 
285        I2         2     64         1          25         1          0.000009045005 
286        I2         2     64         1          25         1          0.000009395182 
287        I2         2     64         1          25         1          0.000008285046 
288        I2         2     64         1          25         1          0.000008091331 
289        I2         2     64         1          25         1          0.000008121133 
290        I2         2     64         1          25         1          0.000008068979 
291        I2         2     64         1          25         1          0.000008866191 
292        I2         2     64         1          25         1          0.000009074807 
293        I2         2     64         1          25         1          0.000008627772 
294        I2         2     64         1          25         1          0.000008448958 
295        I2         2     64         1          25         1          0.000008314848 
296        I2         2     64         1          25         1          0.000003285706 
297        I2         2     64         1          25         1          0.000008434057 
298        I2         2     64         1          25         1          0.000009112060 
299        I2         2     64         1          25         1          0.000009022653 
300        I2         2     64         1          25         1          0.000009506941 
301        I2         2     64         1          25         1          0.000008963048 
302        I2         2     128        1          25         1          0.000010378659 
303        I2         2     128        1          25         1          0.000032305717 
304        I2         2     128        1          25         1          0.000011876225 
305        I2         2     128        1          25         1          0.000016547740 
306        I2         2     128        1          25         1          0.000032722950 
307        I2         2     128        1          25         1          0.000034227967 
308        I2         2     128        1          25         1          0.000031970441 
309        I2         2     128        1          25         1          0.000032529235 
