N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
380        OMPGLBBB   7     16         1          25         1          0.000002872944  0.000000805408  0.28       28.03     %
381        OMPGLBBB   7     16         1          25         2          0.000006581843  0.000000805408  0.12       6.12      %
382        OMPGLBBB   7     16         1          25         4          0.000005649030  0.000000805408  0.14       3.56      %
383        OMPGLBBB   7     16         1          25         8          0.000005698949  0.000000805408  0.14       1.77      %
384        OMPGLBBB   7     16         1          25         16         0.000005634874  0.000000805408  0.14       0.89      %
385        OMPGLBBB   7     16         1          25         32         0.000005637109  0.000000805408  0.14       0.45      %
386        OMPGLBBB   7     16         1          25         64         0.000005800277  0.000000805408  0.14       0.22      %
387        OMPGLBBB   7     32         1          25         1          0.000004422664  0.000002649427  0.60       59.91     %
388        OMPGLBBB   7     32         1          25         2          0.000007104873  0.000002649427  0.37       18.65     %
389        OMPGLBBB   7     32         1          25         4          0.000009295344  0.000002649427  0.29       7.13      %
390        OMPGLBBB   7     32         1          25         8          0.000008130819  0.000002649427  0.33       4.07      %
391        OMPGLBBB   7     32         1          25         16         0.000007501244  0.000002649427  0.35       2.21      %
392        OMPGLBBB   7     32         1          25         32         0.000008170307  0.000002649427  0.32       1.01      %
393        OMPGLBBB   7     32         1          25         64         0.000008265674  0.000002649427  0.32       0.50      %
394        OMPGLBBB   7     64         1          25         1          0.000014875084  0.000008956343  0.60       60.21     %
395        OMPGLBBB   7     64         1          25         2          0.000008893758  0.000008956343  1.01       50.35     %
396        OMPGLBBB   7     64         1          25         4          0.000010501593  0.000008956343  0.85       21.32     %
397        OMPGLBBB   7     64         1          25         8          0.000016205759  0.000008956343  0.55       6.91      %
398        OMPGLBBB   7     64         1          25         16         0.000013210624  0.000008956343  0.68       4.24      %
399        OMPGLBBB   7     64         1          25         32         0.000014461577  0.000008956343  0.62       1.94      %
400        OMPGLBBB   7     64         1          25         64         0.000014497340  0.000008956343  0.62       0.97      %
401        OMPGLBBB   7     128        1          25         1          0.000048500300  0.000038782506  0.80       79.96     %
402        OMPGLBBB   7     128        1          25         2          0.000013716519  0.000038782506  2.83       141.37    %
403        OMPGLBBB   7     128        1          25         4          0.000014090538  0.000038782506  2.75       68.81     %
404        OMPGLBBB   7     128        1          25         8          0.000019061565  0.000038782506  2.03       25.43     %
405        OMPGLBBB   7     128        1          25         16         0.000029042363  0.000038782506  1.34       8.35      %
406        OMPGLBBB   7     128        1          25         32         0.000028154254  0.000038782506  1.38       4.30      %
407        OMPGLBBB   7     128        1          25         64         0.000030288846  0.000038782506  1.28       2.00      %
408        OMPGLBBB   7     256        1          25         1          0.000051141531  0.000175166875  3.43       342.51    %
409        OMPGLBBB   7     256        1          25         2          0.000034665318  0.000175166875  5.05       252.65    %
410        OMPGLBBB   7     256        1          25         4          0.000027003140  0.000175166875  6.49       162.17    %
411        OMPGLBBB   7     256        1          25         8          0.000028368086  0.000175166875  6.17       77.18     %
412        OMPGLBBB   7     256        1          25         16         0.000038065762  0.000175166875  4.60       28.76     %
413        OMPGLBBB   7     256        1          25         32         0.000065863875  0.000175166875  2.66       8.31      %
414        OMPGLBBB   7     256        1          25         64         0.000077047196  0.000175166875  2.27       3.55      %
415        OMPGLBBB   7     512        1          25         1          0.000196043402  0.000524041068  2.67       267.31    %
416        OMPGLBBB   7     512        1          25         2          0.000112433729  0.000524041068  4.66       233.04    %
417        OMPGLBBB   7     512        1          25         4          0.000071022660  0.000524041068  7.38       184.46    %
418        OMPGLBBB   7     512        1          25         8          0.000059976428  0.000524041068  8.74       109.22    %
419        OMPGLBBB   7     512        1          25         16         0.000072754920  0.000524041068  7.20       45.02     %
420        OMPGLBBB   7     512        1          25         32         0.000116103889  0.000524041068  4.51       14.10     %
421        OMPGLBBB   7     512        1          25         64         0.000183043623  0.000524041068  2.86       4.47      %
422        OMPGLBBB   7     1024       1          25         1          0.000770023442  0.002413285431  3.13       313.40    %
423        OMPGLBBB   7     1024       1          25         2          0.000407944608  0.002413285431  5.92       295.79    %
424        OMPGLBBB   7     1024       1          25         4          0.000240214169  0.002413285431  10.05      251.16    %
425        OMPGLBBB   7     1024       1          25         8          0.000138629970  0.002413285431  17.41      217.60    %
426        OMPGLBBB   7     1024       1          25         16         0.000123994047  0.002413285431  19.46      121.64    %
427        OMPGLBBB   7     1024       1          25         32         0.000288095325  0.002413285431  8.38       26.18     %
428        OMPGLBBB   7     1024       1          25         64         0.000309211027  0.002413285431  7.80       12.19     %
429        OMPGLBBB   7     2048       1          25         1          0.008355309255  0.020232321694  2.42       242.15    %
430        OMPGLBBB   7     2048       1          25         2          0.004276668187  0.020232321694  4.73       236.54    %
431        OMPGLBBB   7     2048       1          25         4          0.002310242504  0.020232321694  8.76       218.94    %
432        OMPGLBBB   7     2048       1          25         8          0.001202313579  0.020232321694  16.83      210.35    %
433        OMPGLBBB   7     2048       1          25         16         0.000748094171  0.020232321694  27.05      169.03    %
434        OMPGLBBB   7     2048       1          25         32         0.000885187066  0.020232321694  22.86      71.43     %
435        OMPGLBBB   7     2048       1          25         64         0.001154827303  0.020232321694  17.52      27.37     %
436        OMPGLBBB   7     4096       1          25         1          0.048033557832  0.106971874833  2.23       222.70    %
437        OMPGLBBB   7     4096       1          25         2          0.024233536795  0.106971874833  4.41       220.71    %
438        OMPGLBBB   7     4096       1          25         4          0.012699058279  0.106971874833  8.42       210.59    %
439        OMPGLBBB   7     4096       1          25         8          0.007047505118  0.106971874833  15.18      189.73    %
440        OMPGLBBB   7     4096       1          25         16         0.005355436355  0.106971874833  19.97      124.84    %
441        OMPGLBBB   7     4096       1          25         32         0.005141475238  0.106971874833  20.81      65.02     %
442        OMPGLBBB   7     4096       1          25         64         0.005464578979  0.106971874833  19.58      30.59     %
731        OMPGLBBB   7     16         2          25         1          0.000007290393  0.000001066178  0.15       14.62     %
