N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
1          SO0        1     16         1          25         1          0.000001233071 
2          SO0        1     16         1          25         1          0.000001087785 
3          SO0        1     16         1          25         1          0.000001203269 
4          SO0        1     16         1          25         1          0.000001080334 
5          SO0        1     16         1          25         1          0.000001281500 
6          SO0        1     16         1          25         1          0.000001538545 
7          SO0        1     16         1          25         1          0.000001110137 
8          SO0        1     16         1          25         1          0.000001013279 
9          SO0        1     16         1          25         1          0.000001102686 
10         SO0        1     16         1          25         1          0.000001233071 
11         SO0        1     16         1          25         1          0.000001195818 
12         SO0        1     16         1          25         1          0.000001255423 
13         SO0        1     16         1          25         1          0.000001259148 
14         SO0        1     16         1          25         1          0.000001266599 
15         SO0        1     16         1          25         1          0.000001098961 
16         SO0        1     16         1          25         1          0.000001061708 
17         SO0        1     16         1          25         1          0.000001084059 
18         SO0        1     16         1          25         1          0.000001206994 
19         SO0        1     16         1          25         1          0.000001102686 
20         SO0        1     16         1          25         1          0.000001091510 
21         SO0        1     16         1          25         1          0.000001367182 
22         SO0        1     16         1          25         1          0.000001087785 
23         SO0        1     16         1          25         1          0.000001061708 
24         SO0        1     16         1          25         1          0.000001247972 
25         SO0        1     16         1          25         1          0.000001110137 
26         SO0        1     32         1          25         1          0.000003397465 
27         SO0        1     32         1          25         1          0.000003304332 
28         SO0        1     32         1          25         1          0.000003743917 
29         SO0        1     32         1          25         1          0.000003412366 
30         SO0        1     32         1          25         1          0.000003285706 
31         SO0        1     32         1          25         1          0.000003334135 
32         SO0        1     32         1          25         1          0.000003386289 
33         SO0        1     32         1          25         1          0.000003390014 
34         SO0        1     32         1          25         1          0.000003498048 
35         SO0        1     32         1          25         1          0.000003278255 
36         SO0        1     32         1          25         1          0.000003512949 
37         SO0        1     32         1          25         1          0.000003706664 
38         SO0        1     32         1          25         1          0.000003892928 
39         SO0        1     32         1          25         1          0.000003423542 
40         SO0        1     32         1          25         1          0.000003743917 
41         SO0        1     32         1          25         1          0.000003281981 
42         SO0        1     32         1          25         1          0.000003315508 
43         SO0        1     32         1          25         1          0.000003378838 
44         SO0        1     32         1          25         1          0.000003557652 
45         SO0        1     32         1          25         1          0.000003337860 
46         SO0        1     32         1          25         1          0.000003412366 
