N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
101        R2         3     16         1          25         1          0.000001621619  0.000001020730  0.63       62.95     %
102        R2         3     32         1          25         1          0.000002736226  0.000003376231  1.23       123.39    %
103        R2         3     64         1          25         1          0.000004977360  0.000011531636  2.32       231.68    %
104        R2         3     128        1          25         1          0.000003911927  0.000048295035  12.35      1234.56   %
105        R2         3     256        1          25         1          0.000005844980  0.000214795029  36.75      3674.86   %
106        R2         3     512        1          25         1          0.000016050413  0.000672594819  41.91      4190.51   %
107        R2         3     1024       1          25         1          0.000303823879  0.002985195490  9.83       982.54    %
108        R2         3     2048       1          25         1          0.000651786861  0.025565493852  39.22      3922.37   %
109        R2         3     4096       1          25         1          0.001711583929  0.126021236181  73.63      7362.84   %
110        R2M        3     16         1          25         1          0.000001581013  0.000001020730  0.65       64.56     %
111        R2M        3     32         1          25         1          0.000002739951  0.000003376231  1.23       123.22    %
112        R2M        3     64         1          25         1          0.000004892051  0.000011531636  2.36       235.72    %
113        R2M        3     128        1          25         1          0.000002646819  0.000048295035  18.25      1824.64   %
114        R2M        3     256        1          25         1          0.000005632266  0.000214795029  38.14      3813.65   %
115        R2M        3     512        1          25         1          0.000015865266  0.000672594819  42.39      4239.42   %
116        R2M        3     1024       1          25         1          0.000302650791  0.002985195490  9.86       986.35    %
117        R2M        3     2048       1          25         1          0.000655304990  0.025565493852  39.01      3901.31   %
118        R2M        3     4096       1          25         1          0.001663409523  0.126021236181  75.76      7576.08   %
119        R2FTV      3     16         1          25         1          0.000001603365  0.000001020730  0.64       63.66     %
120        R2FTV      3     32         1          25         1          0.000002660975  0.000003376231  1.27       126.88    %
121        R2FTV      3     64         1          25         1          0.000005031749  0.000011531636  2.29       229.18    %
122        R2FTV      3     128        1          25         1          0.000002737343  0.000048295035  17.64      1764.30   %
123        R2FTV      3     256        1          25         1          0.000006065890  0.000214795029  35.41      3541.03   %
124        R2FTV      3     512        1          25         1          0.000015966594  0.000672594819  42.13      4212.51   %
125        R2FTV      3     1024       1          25         1          0.000261463982  0.002985195490  11.42      1141.72   %
126        R2FTV      3     2048       1          25         1          0.000595927995  0.025565493852  42.90      4290.03   %
127        R2FTV      3     4096       1          25         1          0.001462198794  0.126021236181  86.19      8618.61   %
128        R2FUN      3     16         1          25         1          0.000001928955  0.000001020730  0.53       52.92     %
129        R2FUN      3     32         1          25         1          0.000002999231  0.000003376231  1.13       112.57    %
130        R2FUN      3     64         1          25         1          0.000005421042  0.000011531636  2.13       212.72    %
131        R2FUN      3     128        1          25         1          0.000002899021  0.000048295035  16.66      1665.91   %
132        R2FUN      3     256        1          25         1          0.000006186962  0.000214795029  34.72      3471.74   %
133        R2FUN      3     512        1          25         1          0.000015546009  0.000672594819  43.26      4326.48   %
134        R2FUN      3     1024       1          25         1          0.000268643722  0.002985195490  11.11      1111.21   %
135        R2FUN      3     2048       1          25         1          0.000597830862  0.025565493852  42.76      4276.38   %
136        R2FUN      3     4096       1          25         1          0.001553206472  0.126021236181  81.14      8113.62   %
137        R2PLA      3     16         1          25         1          0.000001799315  0.000001020730  0.57       56.73     %
138        R2PLA      3     32         1          25         1          0.000003034621  0.000003376231  1.11       111.26    %
139        R2PLA      3     64         1          25         1          0.000005519018  0.000011531636  2.09       208.94    %
140        R2PLA      3     128        1          25         1          0.000003632530  0.000048295035  13.30      1329.51   %
141        R2PLA      3     256        1          25         1          0.000006131828  0.000214795029  35.03      3502.95   %
142        R2PLA      3     512        1          25         1          0.000015423819  0.000672594819  43.61      4360.75   %
143        R2PLA      3     1024       1          25         1          0.000263014808  0.002985195490  11.35      1134.99   %
144        R2PLA      3     2048       1          25         1          0.000607126218  0.025565493852  42.11      4210.90   %
145        R2PLA      3     4096       1          25         1          0.001570898341  0.126021236181  80.22      8022.24   %
146        R2FTVFUN   3     16         1          25         1          0.000001873076  0.000001020730  0.54       54.49     %
147        R2FTVFUN   3     32         1          25         1          0.000003158301  0.000003376231  1.07       106.90    %
148        R2FTVFUN   3     64         1          25         1          0.000005463511  0.000011531636  2.11       211.07    %
149        R2FTVFUN   3     128        1          25         1          0.000002995506  0.000048295035  16.12      1612.25   %
150        R2FTVFUN   3     256        1          25         1          0.000005977973  0.000214795029  35.93      3593.11   %
151        R2FTVFUN   3     512        1          25         1          0.000015650690  0.000672594819  42.98      4297.54   %
152        R2FTVFUN   3     1024       1          25         1          0.000263802329  0.002985195490  11.32      1131.60   %
153        R2FTVFUN   3     2048       1          25         1          0.000599036342  0.025565493852  42.68      4267.77   %
154        R2FTVFUN   3     4096       1          25         1          0.001534643350  0.126021236181  82.12      8211.76   %
155        R2FM       3     16         1          25         1          0.000001619384  0.000001020730  0.63       63.03     %
156        R2FM       3     32         1          25         1          0.000002636388  0.000003376231  1.28       128.06    %
