N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
191        OMPLOCWS   4     16         1          25         1          0.000011209026  0.000001061335  0.09       9.47      %
192        OMPLOCWS   4     16         1          25         2          0.000024400279  0.000001061335  0.04       2.17      %
193        OMPLOCWS   4     16         1          25         4          0.000031883643  0.000001061335  0.03       0.83      %
194        OMPLOCWS   4     16         1          25         8          0.000027772412  0.000001061335  0.04       0.48      %
195        OMPLOCWS   4     16         1          25         16         0.000041063875  0.000001061335  0.03       0.16      %
196        OMPLOCWS   4     16         1          25         32         0.000071458890  0.000001061335  0.01       0.05      %
197        OMPLOCWS   4     16         1          25         64         0.000158018986  0.000001061335  0.01       0.01      %
198        OMPLOCWS   4     32         1          25         1          0.000018863380  0.000002609566  0.14       13.83     %
199        OMPLOCWS   4     32         1          25         2          0.000024306773  0.000002609566  0.11       5.37      %
200        OMPLOCWS   4     32         1          25         4          0.000032713637  0.000002609566  0.08       1.99      %
201        OMPLOCWS   4     32         1          25         8          0.000029541552  0.000002609566  0.09       1.10      %
202        OMPLOCWS   4     32         1          25         16         0.000048496946  0.000002609566  0.05       0.34      %
203        OMPLOCWS   4     32         1          25         32         0.000081665072  0.000002609566  0.03       0.10      %
204        OMPLOCWS   4     32         1          25         64         0.000159864503  0.000002609566  0.02       0.03      %
205        OMPLOCWS   4     64         1          25         1          0.000029603019  0.000009484962  0.32       32.04     %
206        OMPLOCWS   4     64         1          25         2          0.000034132972  0.000009484962  0.28       13.89     %
207        OMPLOCWS   4     64         1          25         4          0.000039548799  0.000009484962  0.24       6.00      %
208        OMPLOCWS   4     64         1          25         8          0.000034958124  0.000009484962  0.27       3.39      %
209        OMPLOCWS   4     64         1          25         16         0.000043392927  0.000009484962  0.22       1.37      %
210        OMPLOCWS   4     64         1          25         32         0.000071711096  0.000009484962  0.13       0.41      %
211        OMPLOCWS   4     64         1          25         64         0.000159168994  0.000009484962  0.06       0.09      %
212        OMPLOCWS   4     128        1          25         1          0.000073700401  0.000038004666  0.52       51.57     %
213        OMPLOCWS   4     128        1          25         2          0.000066342953  0.000038004666  0.57       28.64     %
214        OMPLOCWS   4     128        1          25         4          0.000059138238  0.000038004666  0.64       16.07     %
215        OMPLOCWS   4     128        1          25         8          0.000044711305  0.000038004666  0.85       10.63     %
216        OMPLOCWS   4     128        1          25         16         0.000055839868  0.000038004666  0.68       4.25      %
217        OMPLOCWS   4     128        1          25         32         0.000077936056  0.000038004666  0.49       1.52      %
218        OMPLOCWS   4     128        1          25         64         0.000149972737  0.000038004666  0.25       0.40      %
219        OMPLOCWS   4     256        1          25         1          0.000097749755  0.000150788197  1.54       154.26    %
220        OMPLOCWS   4     256        1          25         2          0.000096199292  0.000150788197  1.57       78.37     %
221        OMPLOCWS   4     256        1          25         4          0.000094150004  0.000150788197  1.60       40.04     %
222        OMPLOCWS   4     256        1          25         8          0.000078630444  0.000150788197  1.92       23.97     %
223        OMPLOCWS   4     256        1          25         16         0.000072240829  0.000150788197  2.09       13.05     %
224        OMPLOCWS   4     256        1          25         32         0.000116330382  0.000150788197  1.30       4.05      %
225        OMPLOCWS   4     256        1          25         64         0.000175624344  0.000150788197  0.86       1.34      %
226        OMPLOCWS   4     512        1          25         1          0.000396820164  0.000645950437  1.63       162.78    %
227        OMPLOCWS   4     512        1          25         2          0.000318234408  0.000645950437  2.03       101.49    %
228        OMPLOCWS   4     512        1          25         4          0.000196029243  0.000645950437  3.30       82.38     %
229        OMPLOCWS   4     512        1          25         8          0.000133670866  0.000645950437  4.83       60.40     %
230        OMPLOCWS   4     512        1          25         16         0.000127724183  0.000645950437  5.06       31.61     %
