N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
9452       OMPGLBBB   7     16         1          25         1          0.000010311604 
9453       OMPGLBBB   7     16         1          25         1          0.000011041760 
9454       OMPGLBBB   7     16         1          25         1          0.000010237098 
9455       OMPGLBBB   7     16         1          25         1          0.000010356307 
9456       OMPGLBBB   7     16         1          25         1          0.000010188669 
9457       OMPGLBBB   7     16         1          25         1          0.000004179776 
9458       OMPGLBBB   7     16         1          25         1          0.000010207295 
9459       OMPGLBBB   7     16         1          25         1          0.000010296702 
9460       OMPGLBBB   7     16         1          25         1          0.000005874783 
9461       OMPGLBBB   7     16         1          25         1          0.000010259449 
9462       OMPGLBBB   7     16         1          25         1          0.000010266900 
9463       OMPGLBBB   7     16         1          25         1          0.000010319054 
9464       OMPGLBBB   7     16         1          25         1          0.000010486692 
9465       OMPGLBBB   7     16         1          25         1          0.000010281801 
9466       OMPGLBBB   7     16         1          25         1          0.000010196120 
9467       OMPGLBBB   7     16         1          25         1          0.000005487353 
9468       OMPGLBBB   7     16         1          25         1          0.000004190952 
9469       OMPGLBBB   7     16         1          25         1          0.000010054559 
9470       OMPGLBBB   7     16         1          25         1          0.000010278076 
9471       OMPGLBBB   7     16         1          25         1          0.000004205853 
9472       OMPGLBBB   7     16         1          25         1          0.000010233372 
9473       OMPGLBBB   7     16         1          25         1          0.000010084361 
9474       OMPGLBBB   7     16         1          25         1          0.000010058284 
9475       OMPGLBBB   7     16         1          25         1          0.000010248274 
9476       OMPGLBBB   7     16         1          25         1          0.000009983778 
9477       OMPGLBBB   7     16         1          25         2          0.000015497208 
9478       OMPGLBBB   7     16         1          25         2          0.000034965575 
9479       OMPGLBBB   7     16         1          25         2          0.000027950853 
9480       OMPGLBBB   7     16         1          25         2          0.000028152019 
9481       OMPGLBBB   7     16         1          25         2          0.000025805086 
9482       OMPGLBBB   7     16         1          25         2          0.000025581568 
9483       OMPGLBBB   7     16         1          25         2          0.000025019050 
9484       OMPGLBBB   7     16         1          25         2          0.000016868114 
9485       OMPGLBBB   7     16         1          25         2          0.000025514513 
9486       OMPGLBBB   7     16         1          25         2          0.000024706125 
9487       OMPGLBBB   7     16         1          25         2          0.000024404377 
9488       OMPGLBBB   7     16         1          25         2          0.000022485852 
9489       OMPGLBBB   7     16         1          25         2          0.000025331974 
9490       OMPGLBBB   7     16         1          25         2          0.000023007393 
9491       OMPGLBBB   7     16         1          25         2          0.000034157187 
9492       OMPGLBBB   7     16         1          25         2          0.000016272068 
9493       OMPGLBBB   7     16         1          25         2          0.000022191554 
9494       OMPGLBBB   7     16         1          25         2          0.000109486282 
9495       OMPGLBBB   7     16         1          25         2          0.000015608966 
9496       OMPGLBBB   7     16         1          25         2          0.000021852553 
9497       OMPGLBBB   7     16         1          25         2          0.000023130327 
9498       OMPGLBBB   7     16         1          25         2          0.000013843179 
9499       OMPGLBBB   7     16         1          25         2          0.000022780150 
9500       OMPGLBBB   7     16         1          25         2          0.000013127923 
9501       OMPGLBBB   7     16         1          25         2          0.000012461096 
9502       OMPGLBBB   7     16         1          25         4          0.000019479543 
9503       OMPGLBBB   7     16         1          25         4          0.000017113984 
9504       OMPGLBBB   7     16         1          25         4          0.000014252961 
9505       OMPGLBBB   7     16         1          25         4          0.000016998500 
9506       OMPGLBBB   7     16         1          25         4          0.000014659017 
9507       OMPGLBBB   7     16         1          25         4          0.000009410083 
9508       OMPGLBBB   7     16         1          25         4          0.000010397285 
9509       OMPGLBBB   7     16         1          25         4          0.000014297664 
9510       OMPGLBBB   7     16         1          25         4          0.000018119812 
9511       OMPGLBBB   7     16         1          25         4          0.000014789402 
9512       OMPGLBBB   7     16         1          25         4          0.000009320676 
9513       OMPGLBBB   7     16         1          25         4          0.000010501593 
9514       OMPGLBBB   7     16         1          25         4          0.000020653009 
9515       OMPGLBBB   7     16         1          25         4          0.000011403114 
9516       OMPGLBBB   7     16         1          25         4          0.000011444092 
9517       OMPGLBBB   7     16         1          25         4          0.000010292977 
9518       OMPGLBBB   7     16         1          25         4          0.000015806407 
9519       OMPGLBBB   7     16         1          25         4          0.000017080456 
9520       OMPGLBBB   7     16         1          25         4          0.000014036894 
9521       OMPGLBBB   7     16         1          25         4          0.000017423183 
9522       OMPGLBBB   7     16         1          25         4          0.000016149133 
9523       OMPGLBBB   7     16         1          25         4          0.000016327947 
9524       OMPGLBBB   7     16         1          25         4          0.000016454607 
9525       OMPGLBBB   7     16         1          25         4          0.000017855316 
9526       OMPGLBBB   7     16         1          25         4          0.000017534941 
9527       OMPGLBBB   7     16         1          25         8          0.000024188310 
