N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
2          SO0        1     16         1          25         1          0.000001333654 
3          SO0        1     16         1          25         1          0.000001143664 
4          SO0        1     16         1          25         1          0.000001177192 
5          SO0        1     16         1          25         1          0.000001102686 
6          SO0        1     16         1          25         1          0.000001069158 
7          SO0        1     16         1          25         1          0.000001065433 
8          SO0        1     16         1          25         1          0.000001039356 
9          SO0        1     16         1          25         1          0.000001020730 
10         SO0        1     16         1          25         1          0.000001046807 
11         SO0        1     16         1          25         1          0.000001065433 
12         SO0        1     16         1          25         1          0.000001069158 
13         SO0        1     16         1          25         1          0.000001057982 
14         SO0        1     16         1          25         1          0.000001046807 
15         SO0        1     16         1          25         1          0.000001065433 
16         SO0        1     16         1          25         1          0.000001061708 
17         SO0        1     16         1          25         1          0.000001054257 
18         SO0        1     16         1          25         1          0.000001057982 
19         SO0        1     16         1          25         1          0.000001080334 
20         SO0        1     16         1          25         1          0.000001091510 
21         SO0        1     16         1          25         1          0.000001057982 
22         SO0        1     16         1          25         1          0.000001061708 
23         SO0        1     16         1          25         1          0.000001061708 
24         SO0        1     16         1          25         1          0.000001057982 
25         SO0        1     16         1          25         1          0.000001057982 
26         SO0        1     16         1          25         1          0.000001050532 
27         SO0        1     32         1          25         1          0.000002801418 
28         SO0        1     32         1          25         1          0.000002730638 
29         SO0        1     32         1          25         1          0.000002603978 
30         SO0        1     32         1          25         1          0.000002585351 
31         SO0        1     32         1          25         1          0.000002581626 
32         SO0        1     32         1          25         1          0.000002551824 
33         SO0        1     32         1          25         1          0.000002577901 
34         SO0        1     32         1          25         1          0.000002566725 
35         SO0        1     32         1          25         1          0.000002551824 
36         SO0        1     32         1          25         1          0.000002577901 
37         SO0        1     32         1          25         1          0.000002548099 
38         SO0        1     32         1          25         1          0.000002611428 
39         SO0        1     32         1          25         1          0.000002663583 
40         SO0        1     32         1          25         1          0.000002626330 
41         SO0        1     32         1          25         1          0.000002671033 
42         SO0        1     32         1          25         1          0.000002678484 
43         SO0        1     32         1          25         1          0.000002682209 
44         SO0        1     32         1          25         1          0.000002622604 
45         SO0        1     32         1          25         1          0.000002570450 
46         SO0        1     32         1          25         1          0.000002618879 
47         SO0        1     32         1          25         1          0.000002618879 
48         SO0        1     32         1          25         1          0.000002648681 
49         SO0        1     32         1          25         1          0.000002678484 
50         SO0        1     32         1          25         1          0.000002577901 
51         SO0        1     32         1          25         1          0.000002879649 
52         SO0        1     64         1          25         1          0.000009831041 
53         SO0        1     64         1          25         1          0.000009395182 
54         SO0        1     64         1          25         1          0.000009443611 
55         SO0        1     64         1          25         1          0.000009495765 
56         SO0        1     64         1          25         1          0.000009410083 
57         SO0        1     64         1          25         1          0.000009391457 
58         SO0        1     64         1          25         1          0.000009544194 
59         SO0        1     64         1          25         1          0.000009898096 
60         SO0        1     64         1          25         1          0.000009715557 
61         SO0        1     64         1          25         1          0.000009506941 
62         SO0        1     64         1          25         1          0.000009488314 
63         SO0        1     64         1          25         1          0.000009648502 
64         SO0        1     64         1          25         1          0.000009365380 
65         SO0        1     64         1          25         1          0.000009462237 
66         SO0        1     64         1          25         1          0.000009667128 
67         SO0        1     64         1          25         1          0.000009637326 
68         SO0        1     64         1          25         1          0.000009525567 
69         SO0        1     64         1          25         1          0.000009458512 
70         SO0        1     64         1          25         1          0.000009596348 
71         SO0        1     64         1          25         1          0.000009354204 
72         SO0        1     64         1          25         1          0.000009432435 
73         SO0        1     64         1          25         1          0.000009417534 
74         SO0        1     64         1          25         1          0.000009492040 
75         SO0        1     64         1          25         1          0.000009480864 
76         SO0        1     64         1          25         1          0.000009495765 
77         SO0        1     128        1          25         1          0.000038385391 
78         SO0        1     128        1          25         1          0.000038031489 
79         SO0        1     128        1          25         1          0.000038024038 
80         SO0        1     128        1          25         1          0.000037893653 
81         SO0        1     128        1          25         1          0.000037960708 
82         SO0        1     128        1          25         1          0.000038128346 
83         SO0        1     128        1          25         1          0.000037901103 
84         SO0        1     128        1          25         1          0.000038258731 
85         SO0        1     128        1          25         1          0.000037755817 
86         SO0        1     128        1          25         1          0.000038210303 
87         SO0        1     128        1          25         1          0.000037796795 
88         SO0        1     128        1          25         1          0.000037971884 
89         SO0        1     128        1          25         1          0.000044059008 
90         SO0        1     128        1          25         1          0.000038132071 
91         SO0        1     128        1          25         1          0.000051718205 
92         SO0        1     128        1          25         1          0.000037942082 
93         SO0        1     128        1          25         1          0.000038005412 
94         SO0        1     128        1          25         1          0.000037878752 
95         SO0        1     128        1          25         1          0.000038221478 
96         SO0        1     128        1          25         1          0.000037748367 
97         SO0        1     128        1          25         1          0.000043775886 
98         SO0        1     128        1          25         1          0.000037949532 
99         SO0        1     128        1          25         1          0.000037755817 
100        SO0        1     128        1          25         1          0.000037837774 
101        SO0        1     128        1          25         1          0.000042192638 
102        SO0        1     256        1          25         1          0.000150579959 
103        SO0        1     256        1          25         1          0.000151138753 
104        SO0        1     256        1          25         1          0.000153835863 
105        SO0        1     256        1          25         1          0.000150233507 
106        SO0        1     256        1          25         1          0.000155620277 
107        SO0        1     256        1          25         1          0.000150017440 
108        SO0        1     256        1          25         1          0.000150348991 
109        SO0        1     256        1          25         1          0.000150904059 
110        SO0        1     256        1          25         1          0.000152774155 
111        SO0        1     256        1          25         1          0.000151492655 
112        SO0        1     256        1          25         1          0.000151034445 
113        SO0        1     256        1          25         1          0.000153157860 
114        SO0        1     256        1          25         1          0.000150717795 
115        SO0        1     256        1          25         1          0.000150348991 
116        SO0        1     256        1          25         1          0.000153116882 
117        SO0        1     256        1          25         1          0.000150468200 
118        SO0        1     256        1          25         1          0.000150367618 
119        SO0        1     256        1          25         1          0.000150710344 
120        SO0        1     256        1          25         1          0.000150565058 
121        SO0        1     256        1          25         1          0.000150039792 
122        SO0        1     256        1          25         1          0.000149823725 
123        SO0        1     256        1          25         1          0.000149879605 
124        SO0        1     256        1          25         1          0.000166766346 
125        SO0        1     256        1          25         1          0.000151395798 
126        SO0        1     256        1          25         1          0.000152602792 
127        SO0        1     512        1          25         1          0.000642370433 
128        SO0        1     512        1          25         1          0.000645428896 
129        SO0        1     512        1          25         1          0.000649642199 
130        SO0        1     512        1          25         1          0.000646430999 
131        SO0        1     512        1          25         1          0.000642217696 
132        SO0        1     512        1          25         1          0.000646989793 
133        SO0        1     512        1          25         1          0.000643502921 
134        SO0        1     512        1          25         1          0.000646542758 
135        SO0        1     512        1          25         1          0.000647682697 
136        SO0        1     512        1          25         1          0.000643983483 
137        SO0        1     512        1          25         1          0.000646218657 
138        SO0        1     512        1          25         1          0.000646207482 
139        SO0        1     512        1          25         1          0.000647798181 
