N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
6302       OMPGLBWS   5     16         1          25         1          0.000003146008 
6303       OMPGLBWS   5     16         1          25         1          0.000003237277 
6304       OMPGLBWS   5     16         1          25         1          0.000003090128 
6305       OMPGLBWS   5     16         1          25         1          0.000002974644 
6306       OMPGLBWS   5     16         1          25         1          0.000003019348 
6307       OMPGLBWS   5     16         1          25         1          0.000003028661 
6308       OMPGLBWS   5     16         1          25         1          0.000002991408 
6309       OMPGLBWS   5     16         1          25         1          0.000003028661 
6310       OMPGLBWS   5     16         1          25         1          0.000003041700 
6311       OMPGLBWS   5     16         1          25         1          0.000003147870 
6312       OMPGLBWS   5     16         1          25         1          0.000003036112 
6313       OMPGLBWS   5     16         1          25         1          0.000003054738 
6314       OMPGLBWS   5     16         1          25         1          0.000003127381 
6315       OMPGLBWS   5     16         1          25         1          0.000003151596 
6316       OMPGLBWS   5     16         1          25         1          0.000003058463 
6317       OMPGLBWS   5     16         1          25         1          0.000002941117 
6318       OMPGLBWS   5     16         1          25         1          0.000003106892 
6319       OMPGLBWS   5     16         1          25         1          0.000002996996 
6320       OMPGLBWS   5     16         1          25         1          0.000003017485 
6321       OMPGLBWS   5     16         1          25         1          0.000002926216 
6322       OMPGLBWS   5     16         1          25         1          0.000003090128 
6323       OMPGLBWS   5     16         1          25         1          0.000003075227 
6324       OMPGLBWS   5     16         1          25         1          0.000002980232 
6325       OMPGLBWS   5     16         1          25         1          0.000003097579 
6326       OMPGLBWS   5     16         1          25         1          0.000003075227 
6327       OMPGLBWS   5     16         1          25         2          0.000003920868 
6328       OMPGLBWS   5     16         1          25         2          0.000008255243 
6329       OMPGLBWS   5     16         1          25         2          0.000006951392 
6330       OMPGLBWS   5     16         1          25         2          0.000006621704 
6331       OMPGLBWS   5     16         1          25         2          0.000007104129 
6332       OMPGLBWS   5     16         1          25         2          0.000006655231 
6333       OMPGLBWS   5     16         1          25         2          0.000006739050 
6334       OMPGLBWS   5     16         1          25         2          0.000007094815 
6335       OMPGLBWS   5     16         1          25         2          0.000006714836 
6336       OMPGLBWS   5     16         1          25         2          0.000006936491 
6337       OMPGLBWS   5     16         1          25         2          0.000006640330 
6338       OMPGLBWS   5     16         1          25         2          0.000006992370 
6339       OMPGLBWS   5     16         1          25         2          0.000007124618 
6340       OMPGLBWS   5     16         1          25         2          0.000006830320 
6341       OMPGLBWS   5     16         1          25         2          0.000006793067 
6342       OMPGLBWS   5     16         1          25         2          0.000006632879 
6343       OMPGLBWS   5     16         1          25         2          0.000006685033 
6344       OMPGLBWS   5     16         1          25         2          0.000007174909 
6345       OMPGLBWS   5     16         1          25         2          0.000007126480 
6346       OMPGLBWS   5     16         1          25         2          0.000006744638 
6347       OMPGLBWS   5     16         1          25         2          0.000007146969 
6348       OMPGLBWS   5     16         1          25         2          0.000006981194 
6349       OMPGLBWS   5     16         1          25         2          0.000006778166 
6350       OMPGLBWS   5     16         1          25         2          0.000006837770 
6351       OMPGLBWS   5     16         1          25         2          0.000006848946 
6352       OMPGLBWS   5     16         1          25         4          0.000003751367 
6353       OMPGLBWS   5     16         1          25         4          0.000010095537 
6354       OMPGLBWS   5     16         1          25         4          0.000009665266 
6355       OMPGLBWS   5     16         1          25         4          0.000009579584 
6356       OMPGLBWS   5     16         1          25         4          0.000010019168 
6357       OMPGLBWS   5     16         1          25         4          0.000009533018 
6358       OMPGLBWS   5     16         1          25         4          0.000009907410 
6359       OMPGLBWS   5     16         1          25         4          0.000009749085 
6360       OMPGLBWS   5     16         1          25         4          0.000009763986 
6361       OMPGLBWS   5     16         1          25         4          0.000009704381 
6362       OMPGLBWS   5     16         1          25         4          0.000009706244 
6363       OMPGLBWS   5     16         1          25         4          0.000009689480 
6364       OMPGLBWS   5     16         1          25         4          0.000009967014 
6365       OMPGLBWS   5     16         1          25         4          0.000009715557 
6366       OMPGLBWS   5     16         1          25         4          0.000009810552 
6367       OMPGLBWS   5     16         1          25         4          0.000010043383 
6368       OMPGLBWS   5     16         1          25         4          0.000009715557 
