N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
2          SO0        1     16         1          25         1          0.000001045875  0.000001045875  1.00       100.00    %
3          SO0        1     32         1          25         1          0.000003077462  0.000003077462  1.00       100.00    %
4          SO0        1     64         1          25         1          0.000011417270  0.000011417270  1.00       100.00    %
5          SO0        1     128        1          25         1          0.000045667963  0.000045667963  1.00       100.00    %
6          SO0        1     256        1          25         1          0.000181914496  0.000181914496  1.00       100.00    %
7          SO0        1     512        1          25         1          0.000706911087  0.000706911087  1.00       100.00    %
8          SO0        1     1024       1          25         1          0.003370729741  0.003370729741  1.00       100.00    %
9          SO0        1     2048       1          25         1          0.027209866792  0.027209866792  1.00       100.00    %
10         SO0        1     4096       1          25         1          0.127428978682  0.127428978682  1.00       100.00    %
443        SO0        1     16         2          25         1          0.000001621805  0.000001621805  1.00       100.00    %
444        SO0        1     32         2          25         1          0.000003136694  0.000003136694  1.00       100.00    %
445        SO0        1     64         2          25         1          0.000007974729  0.000007974729  1.00       100.00    %
446        SO0        1     128        2          25         1          0.000025512092  0.000025512092  1.00       100.00    %
447        SO0        1     256        2          25         1          0.000093191302  0.000093191302  1.00       100.00    %
448        SO0        1     512        2          25         1          0.000492166728  0.000492166728  1.00       100.00    %
449        SO0        1     1024       2          25         1          0.002955015516  0.002955015516  1.00       100.00    %
450        SO0        1     2048       2          25         1          0.013821184635  0.013821184635  1.00       100.00    %
451        SO0        1     4096       2          25         1          0.066112793982  0.066112793982  1.00       100.00    %
794        SO0        1     16         3          25         1          0.000002083555  0.000002083555  1.00       100.00    %
795        SO0        1     32         3          25         1          0.000005205534  0.000005205534  1.00       100.00    %
796        SO0        1     64         3          25         1          0.000018396042  0.000018396042  1.00       100.00    %
797        SO0        1     128        3          25         1          0.000070153925  0.000070153925  1.00       100.00    %
798        SO0        1     256        3          25         1          0.000306323171  0.000306323171  1.00       100.00    %
799        SO0        1     512        3          25         1          0.001205311390  0.001205311390  1.00       100.00    %
800        SO0        1     1024       3          25         1          0.006091780029  0.006091780029  1.00       100.00    %
801        SO0        1     2048       3          25         1          0.041174940765  0.041174940765  1.00       100.00    %
802        SO0        1     4096       3          25         1          0.198702454567  0.198702454567  1.00       100.00    %
