N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
11         I2         2     16         1          25         1          0.000000190735  0.000001058728  5.55       555.08    %
12         I2         2     32         1          25         1          0.000000755489  0.000002948940  3.90       390.34    %
13         I2         2     64         1          25         1          0.000002878159  0.000010529160  3.66       365.83    %
14         I2         2     128        1          25         1          0.000012723356  0.000045469402  3.57       357.37    %
15         I2         2     256        1          25         1          0.000046389549  0.000161816177  3.49       348.82    %
16         I2         2     512        1          25         1          0.000210709128  0.000680523342  3.23       322.97    %
17         I2         2     1024       1          25         1          0.001064385520  0.003334797919  3.13       313.31    %
18         I2         2     2048       1          25         1          0.008177826181  0.026182293892  3.20       320.16    %
19         I2         2     4096       1          25         1          0.045800171793  0.123488619924  2.70       269.62    %
20         I2M        2     16         1          25         1          0.000000213087  0.000001058728  4.97       496.85    %
21         I2M        2     32         1          25         1          0.000000768900  0.000002948940  3.84       383.53    %
22         I2M        2     64         1          25         1          0.000002882630  0.000010529160  3.65       365.26    %
23         I2M        2     128        1          25         1          0.000012706220  0.000045469402  3.58       357.85    %
24         I2M        2     256        1          25         1          0.000045855344  0.000161816177  3.53       352.88    %
25         I2M        2     512        1          25         1          0.000210105631  0.000680523342  3.24       323.90    %
26         I2M        2     1024       1          25         1          0.001067390316  0.003334797919  3.12       312.43    %
27         I2M        2     2048       1          25         1          0.008401746862  0.026182293892  3.12       311.63    %
28         I2M        2     4096       1          25         1          0.045369036496  0.123488619924  2.72       272.19    %
29         I2FTV      2     16         1          25         1          0.000000194460  0.000001058728  5.44       544.44    %
30         I2FTV      2     32         1          25         1          0.000000777096  0.000002948940  3.79       379.48    %
31         I2FTV      2     64         1          25         1          0.000002883375  0.000010529160  3.65       365.17    %
32         I2FTV      2     128        1          25         1          0.000012690574  0.000045469402  3.58       358.29    %
33         I2FTV      2     256        1          25         1          0.000046788900  0.000161816177  3.46       345.84    %
34         I2FTV      2     512        1          25         1          0.000211334234  0.000680523342  3.22       322.01    %
35         I2FTV      2     1024       1          25         1          0.001059235656  0.003334797919  3.15       314.83    %
36         I2FTV      2     2048       1          25         1          0.008222246543  0.026182293892  3.18       318.43    %
37         I2FTV      2     4096       1          25         1          0.045878328383  0.123488619924  2.69       269.17    %
38         I2FUN      2     16         1          25         1          0.000000210106  0.000001058728  5.04       503.90    %
39         I2FUN      2     32         1          25         1          0.000000672787  0.000002948940  4.38       438.32    %
40         I2FUN      2     64         1          25         1          0.000002484024  0.000010529160  4.24       423.88    %
41         I2FUN      2     128        1          25         1          0.000012416393  0.000045469402  3.66       366.20    %
42         I2FUN      2     256        1          25         1          0.000042752923  0.000161816177  3.78       378.49    %
43         I2FUN      2     512        1          25         1          0.000193332133  0.000680523342  3.52       352.00    %
44         I2FUN      2     1024       1          25         1          0.000989320106  0.003334797919  3.37       337.08    %
45         I2FUN      2     2048       1          25         1          0.007912131958  0.026182293892  3.31       330.91    %
46         I2FUN      2     4096       1          25         1          0.044974215329  0.123488619924  2.75       274.58    %
47         I2PLA      2     16         1          25         1          0.000000262260  0.000001058728  4.04       403.69    %
48         I2PLA      2     32         1          25         1          0.000000803918  0.000002948940  3.67       366.82    %
49         I2PLA      2     64         1          25         1          0.000002951920  0.000010529160  3.57       356.69    %
50         I2PLA      2     128        1          25         1          0.000012771040  0.000045469402  3.56       356.04    %
51         I2PLA      2     256        1          25         1          0.000046569108  0.000161816177  3.47       347.48    %
52         I2PLA      2     512        1          25         1          0.000210937855  0.000680523342  3.23       322.62    %
53         I2PLA      2     1024       1          25         1          0.001059839851  0.003334797919  3.15       314.65    %
54         I2PLA      2     2048       1          25         1          0.008572744206  0.026182293892  3.05       305.41    %
55         I2PLA      2     4096       1          25         1          0.045561365783  0.123488619924  2.71       271.04    %
