N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
254        OMPGLBWS   5     16         1          25         1          0.000002944470  0.000000985712  0.33       33.48     %
255        OMPGLBWS   5     16         1          25         2          0.000011208654  0.000000985712  0.09       4.40      %
256        OMPGLBWS   5     16         1          25         4          0.000019103289  0.000000985712  0.05       1.29      %
257        OMPGLBWS   5     16         1          25         8          0.000026416034  0.000000985712  0.04       0.47      %
258        OMPGLBWS   5     16         1          25         16         0.000039694460  0.000000985712  0.02       0.16      %
259        OMPGLBWS   5     16         1          25         32         0.000068621339  0.000000985712  0.01       0.04      %
260        OMPGLBWS   5     16         1          25         64         0.000521983195  0.000000985712  0.00       0.00      %
261        OMPGLBWS   5     32         1          25         1          0.000004931539  0.000003015995  0.61       61.16     %
262        OMPGLBWS   5     32         1          25         2          0.000012423098  0.000003015995  0.24       12.14     %
263        OMPGLBWS   5     32         1          25         4          0.000022343545  0.000003015995  0.13       3.37      %
264        OMPGLBWS   5     32         1          25         8          0.000025984646  0.000003015995  0.12       1.45      %
265        OMPGLBWS   5     32         1          25         16         0.000040902942  0.000003015995  0.07       0.46      %
266        OMPGLBWS   5     32         1          25         32         0.000066801163  0.000003015995  0.05       0.14      %
267        OMPGLBWS   5     32         1          25         64         0.000532369304  0.000003015995  0.01       0.01      %
268        OMPGLBWS   5     64         1          25         1          0.000006353110  0.000010842085  1.71       170.66    %
269        OMPGLBWS   5     64         1          25         2          0.000016501546  0.000010842085  0.66       32.85     %
270        OMPGLBWS   5     64         1          25         4          0.000025158375  0.000010842085  0.43       10.77     %
271        OMPGLBWS   5     64         1          25         8          0.000029513239  0.000010842085  0.37       4.59      %
272        OMPGLBWS   5     64         1          25         16         0.000040220468  0.000010842085  0.27       1.68      %
273        OMPGLBWS   5     64         1          25         32         0.000068029018  0.000010842085  0.16       0.50      %
274        OMPGLBWS   5     64         1          25         64         0.000527232885  0.000010842085  0.02       0.03      %
275        OMPGLBWS   5     128        1          25         1          0.000018579512  0.000044205040  2.38       237.92    %
276        OMPGLBWS   5     128        1          25         2          0.000033347307  0.000044205040  1.33       66.28     %
277        OMPGLBWS   5     128        1          25         4          0.000033320488  0.000044205040  1.33       33.17     %
278        OMPGLBWS   5     128        1          25         8          0.000034739824  0.000044205040  1.27       15.91     %
279        OMPGLBWS   5     128        1          25         16         0.000041111558  0.000044205040  1.08       6.72      %
280        OMPGLBWS   5     128        1          25         32         0.000068373978  0.000044205040  0.65       2.02      %
281        OMPGLBWS   5     128        1          25         64         0.000529559678  0.000044205040  0.08       0.13      %
282        OMPGLBWS   5     256        1          25         1          0.000076521930  0.000191271305  2.50       249.96    %
283        OMPGLBWS   5     256        1          25         2          0.000079028308  0.000191271305  2.42       121.01    %
284        OMPGLBWS   5     256        1          25         4          0.000076868382  0.000191271305  2.49       62.21     %
285        OMPGLBWS   5     256        1          25         8          0.000045838951  0.000191271305  4.17       52.16     %
286        OMPGLBWS   5     256        1          25         16         0.000063651802  0.000191271305  3.00       18.78     %
287        OMPGLBWS   5     256        1          25         32         0.000080420075  0.000191271305  2.38       7.43      %
288        OMPGLBWS   5     256        1          25         64         0.000526068383  0.000191271305  0.36       0.57      %
289        OMPGLBWS   5     512        1          25         1          0.000323788816  0.000708506268  2.19       218.82    %
290        OMPGLBWS   5     512        1          25         2          0.000276414299  0.000708506268  2.56       128.16    %
291        OMPGLBWS   5     512        1          25         4          0.000178597867  0.000708506268  3.97       99.18     %
