N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Speedup    Efficiency
317        OMPLOCBB   6     16         1          25         1          0.000003879145  0.000001009367  0.26       26.02     %
318        OMPLOCBB   6     16         1          25         2          0.000016386248  0.000001009367  0.06       3.08      %
319        OMPLOCBB   6     16         1          25         4          0.000021661632  0.000001009367  0.05       1.16      %
320        OMPLOCBB   6     16         1          25         8          0.000028483755  0.000001009367  0.04       0.44      %
321        OMPLOCBB   6     16         1          25         16         0.000041023082  0.000001009367  0.02       0.15      %
322        OMPLOCBB   6     16         1          25         32         0.000072965959  0.000001009367  0.01       0.04      %
323        OMPLOCBB   6     16         1          25         64         0.034851044416  0.000001009367  0.00       0.00      %
324        OMPLOCBB   6     32         1          25         1          0.000005389191  0.000003153086  0.59       58.51     %
325        OMPLOCBB   6     32         1          25         2          0.000017908029  0.000003153086  0.18       8.80      %
326        OMPLOCBB   6     32         1          25         4          0.000026601181  0.000003153086  0.12       2.96      %
327        OMPLOCBB   6     32         1          25         8          0.000033218414  0.000003153086  0.09       1.19      %
328        OMPLOCBB   6     32         1          25         16         0.000043342076  0.000003153086  0.07       0.45      %
329        OMPLOCBB   6     32         1          25         32         0.000073409450  0.000003153086  0.04       0.13      %
330        OMPLOCBB   6     32         1          25         64         0.003567501903  0.000003153086  0.00       0.00      %
331        OMPLOCBB   6     64         1          25         1          0.000006402843  0.000010996871  1.72       171.75    %
332        OMPLOCBB   6     64         1          25         2          0.000019194931  0.000010996871  0.57       28.65     %
333        OMPLOCBB   6     64         1          25         4          0.000042045860  0.000010996871  0.26       6.54      %
334        OMPLOCBB   6     64         1          25         8          0.000033932552  0.000010996871  0.32       4.05      %
335        OMPLOCBB   6     64         1          25         16         0.000043503755  0.000010996871  0.25       1.58      %
336        OMPLOCBB   6     64         1          25         32         0.000074593721  0.000010996871  0.15       0.46      %
337        OMPLOCBB   6     64         1          25         64         0.031180495396  0.000010996871  0.00       0.00      %
338        OMPLOCBB   6     128        1          25         1          0.000020891614  0.000044816174  2.15       214.52    %
339        OMPLOCBB   6     128        1          25         2          0.000032580087  0.000044816174  1.38       68.78     %
340        OMPLOCBB   6     128        1          25         4          0.000036879814  0.000044816174  1.22       30.38     %
341        OMPLOCBB   6     128        1          25         8          0.000042311476  0.000044816174  1.06       13.24     %
342        OMPLOCBB   6     128        1          25         16         0.000047965535  0.000044816174  0.93       5.84      %
343        OMPLOCBB   6     128        1          25         32         0.000078372657  0.000044816174  0.57       1.79      %
344        OMPLOCBB   6     128        1          25         64         0.017952622846  0.000044816174  0.00       0.00      %
345        OMPLOCBB   6     256        1          25         1          0.000056159122  0.000194984488  3.47       347.20    %
346        OMPLOCBB   6     256        1          25         2          0.000076609664  0.000194984488  2.55       127.26    %
347        OMPLOCBB   6     256        1          25         4          0.000058183261  0.000194984488  3.35       83.78     %
348        OMPLOCBB   6     256        1          25         8          0.000062703715  0.000194984488  3.11       38.87     %
349        OMPLOCBB   6     256        1          25         16         0.000063160624  0.000194984488  3.09       19.29     %
350        OMPLOCBB   6     256        1          25         32         0.000085146537  0.000194984488  2.29       7.16      %
351        OMPLOCBB   6     256        1          25         64         0.013215239160  0.000194984488  0.01       0.02      %
352        OMPLOCBB   6     512        1          25         1          0.000241771530  0.000705112878  2.92       291.64    %
353        OMPLOCBB   6     512        1          25         2          0.000317750324  0.000705112878  2.22       110.95    %
354        OMPLOCBB   6     512        1          25         4          0.000197593312  0.000705112878  3.57       89.21     %
355        OMPLOCBB   6     512        1          25         8          0.000146754086  0.000705112878  4.80       60.06     %
356        OMPLOCBB   6     512        1          25         16         0.000129914100  0.000705112878  5.43       33.92     %
