N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
2477       R2         3     16         1          25         1          0.000000625849 
2478       R2         3     16         1          25         1          0.000000402331 
2479       R2         3     16         1          25         1          0.000000365078 
2480       R2         3     16         1          25         1          0.000000379980 
2481       R2         3     16         1          25         1          0.000000491738 
2482       R2         3     16         1          25         1          0.000000454485 
2483       R2         3     16         1          25         1          0.000000365078 
2484       R2         3     16         1          25         1          0.000000357628 
2485       R2         3     16         1          25         1          0.000000365078 
2486       R2         3     16         1          25         1          0.000000350177 
2487       R2         3     16         1          25         1          0.000000350177 
2488       R2         3     16         1          25         1          0.000000357628 
2489       R2         3     16         1          25         1          0.000000342727 
2490       R2         3     16         1          25         1          0.000000327826 
2491       R2         3     16         1          25         1          0.000000342727 
2492       R2         3     16         1          25         1          0.000000342727 
2493       R2         3     16         1          25         1          0.000000350177 
2494       R2         3     16         1          25         1          0.000000543892 
2495       R2         3     16         1          25         1          0.000000342727 
2496       R2         3     16         1          25         1          0.000000342727 
2497       R2         3     16         1          25         1          0.000000402331 
2498       R2         3     16         1          25         1          0.000000350177 
2499       R2         3     16         1          25         1          0.000000350177 
2500       R2         3     16         1          25         1          0.000000357628 
2501       R2         3     16         1          25         1          0.000000320375 
2502       R2         3     32         1          25         1          0.000001177192 
2503       R2         3     32         1          25         1          0.000001035631 
2504       R2         3     32         1          25         1          0.000000968575 
2505       R2         3     32         1          25         1          0.000000886619 
2506       R2         3     32         1          25         1          0.000000789762 
2507       R2         3     32         1          25         1          0.000000849366 
2508       R2         3     32         1          25         1          0.000001281500 
2509       R2         3     32         1          25         1          0.000000953674 
2510       R2         3     32         1          25         1          0.000000968575 
2511       R2         3     32         1          25         1          0.000000976026 
2512       R2         3     32         1          25         1          0.000000834465 
2513       R2         3     32         1          25         1          0.000000789762 
2514       R2         3     32         1          25         1          0.000000856817 
2515       R2         3     32         1          25         1          0.000000938773 
2516       R2         3     32         1          25         1          0.000000871718 
2517       R2         3     32         1          25         1          0.000000856817 
2518       R2         3     32         1          25         1          0.000000849366 
2519       R2         3     32         1          25         1          0.000000841916 
2520       R2         3     32         1          25         1          0.000000841916 
2521       R2         3     32         1          25         1          0.000000789762 
2522       R2         3     32         1          25         1          0.000000782311 
2523       R2         3     32         1          25         1          0.000001221895 
2524       R2         3     32         1          25         1          0.000000901520 
2525       R2         3     32         1          25         1          0.000000968575 
2526       R2         3     32         1          25         1          0.000000871718 
2527       R2         3     64         1          25         1          0.000003263354 
2528       R2         3     64         1          25         1          0.000003077090 
2529       R2         3     64         1          25         1          0.000003121793 
2530       R2         3     64         1          25         1          0.000003054738 
2531       R2         3     64         1          25         1          0.000003151596 
2532       R2         3     64         1          25         1          0.000003255904 
2533       R2         3     64         1          25         1          0.000003084540 
2534       R2         3     64         1          25         1          0.000003047287 
2535       R2         3     64         1          25         1          0.000003017485 
2536       R2         3     64         1          25         1          0.000003032386 
2537       R2         3     64         1          25         1          0.000003054738 
2538       R2         3     64         1          25         1          0.000003017485 
2539       R2         3     64         1          25         1          0.000003010035 
2540       R2         3     64         1          25         1          0.000003047287 
2541       R2         3     64         1          25         1          0.000003010035 
2542       R2         3     64         1          25         1          0.000003010035 
2543       R2         3     64         1          25         1          0.000003218651 
