N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
4727       OMPLOCWS   4     16         1          25         1          0.000004217029 
4728       OMPLOCWS   4     16         1          25         1          0.000006489456 
4729       OMPLOCWS   4     16         1          25         1          0.000004209578 
4730       OMPLOCWS   4     16         1          25         1          0.000003561378 
4731       OMPLOCWS   4     16         1          25         1          0.000003375113 
4732       OMPLOCWS   4     16         1          25         1          0.000003285706 
4733       OMPLOCWS   4     16         1          25         1          0.000003293157 
4734       OMPLOCWS   4     16         1          25         1          0.000003352761 
4735       OMPLOCWS   4     16         1          25         1          0.000003330410 
4736       OMPLOCWS   4     16         1          25         1          0.000003285706 
4737       OMPLOCWS   4     16         1          25         1          0.000003382564 
4738       OMPLOCWS   4     16         1          25         1          0.000003248453 
4739       OMPLOCWS   4     16         1          25         1          0.000003352761 
4740       OMPLOCWS   4     16         1          25         1          0.000003278255 
4741       OMPLOCWS   4     16         1          25         1          0.000003308058 
4742       OMPLOCWS   4     16         1          25         1          0.000003673136 
4743       OMPLOCWS   4     16         1          25         1          0.000003367662 
4744       OMPLOCWS   4     16         1          25         1          0.000003322959 
4745       OMPLOCWS   4     16         1          25         1          0.000003576279 
4746       OMPLOCWS   4     16         1          25         1          0.000003300607 
4747       OMPLOCWS   4     16         1          25         1          0.000003337860 
4748       OMPLOCWS   4     16         1          25         1          0.000003203750 
4749       OMPLOCWS   4     16         1          25         1          0.000003233552 
4750       OMPLOCWS   4     16         1          25         1          0.000003427267 
4751       OMPLOCWS   4     16         1          25         1          0.000003255904 
4752       OMPLOCWS   4     16         1          25         2          0.000016495585 
4753       OMPLOCWS   4     16         1          25         2          0.000015154481 
4754       OMPLOCWS   4     16         1          25         2          0.000013306737 
4755       OMPLOCWS   4     16         1          25         2          0.000012591481 
4756       OMPLOCWS   4     16         1          25         2          0.000013612211 
4757       OMPLOCWS   4     16         1          25         2          0.000014193356 
4758       OMPLOCWS   4     16         1          25         2          0.000012792647 
4759       OMPLOCWS   4     16         1          25         2          0.000012844801 
4760       OMPLOCWS   4     16         1          25         2          0.000012673438 
4761       OMPLOCWS   4     16         1          25         2          0.000014297664 
4762       OMPLOCWS   4     16         1          25         2          0.000012479722 
4763       OMPLOCWS   4     16         1          25         2          0.000012382865 
4764       OMPLOCWS   4     16         1          25         2          0.000012613833 
4765       OMPLOCWS   4     16         1          25         2          0.000011660159 
4766       OMPLOCWS   4     16         1          25         2          0.000011749566 
4767       OMPLOCWS   4     16         1          25         2          0.000012435019 
4768       OMPLOCWS   4     16         1          25         2          0.000014670193 
4769       OMPLOCWS   4     16         1          25         2          0.000013522804 
4770       OMPLOCWS   4     16         1          25         2          0.000012941658 
4771       OMPLOCWS   4     16         1          25         2          0.000012405217 
4772       OMPLOCWS   4     16         1          25         2          0.000013329089 
4773       OMPLOCWS   4     16         1          25         2          0.000014007092 
4774       OMPLOCWS   4     16         1          25         2          0.000013723969 
4775       OMPLOCWS   4     16         1          25         2          0.000016972423 
4776       OMPLOCWS   4     16         1          25         2          0.000012166798 
4777       OMPLOCWS   4     16         1          25         4          0.000017285347 
4778       OMPLOCWS   4     16         1          25         4          0.000027805567 
4779       OMPLOCWS   4     16         1          25         4          0.009197220206 
4780       OMPLOCWS   4     16         1          25         4          0.000024177134 
4781       OMPLOCWS   4     16         1          25         4          0.000023633242 
4782       OMPLOCWS   4     16         1          25         4          0.000022917986 
4783       OMPLOCWS   4     16         1          25         4          0.000020608306 
4784       OMPLOCWS   4     16         1          25         4          0.000020846725 
4785       OMPLOCWS   4     16         1          25         4          0.000024326146 
4786       OMPLOCWS   4     16         1          25         4          0.000021167099 
4787       OMPLOCWS   4     16         1          25         4          0.000021629035 
4788       OMPLOCWS   4     16         1          25         4          0.000022515655 
4789       OMPLOCWS   4     16         1          25         4          0.000020563602 
4790       OMPLOCWS   4     16         1          25         4          0.000022254884 
4791       OMPLOCWS   4     16         1          25         4          0.000030487776 
4792       OMPLOCWS   4     16         1          25         4          0.000021614134 
4793       OMPLOCWS   4     16         1          25         4          0.000022515655 
4794       OMPLOCWS   4     16         1          25         4          0.000021494925 
4795       OMPLOCWS   4     16         1          25         4          0.000024802983 
4796       OMPLOCWS   4     16         1          25         4          0.000023111701 
4797       OMPLOCWS   4     16         1          25         4          0.000020317733 
4798       OMPLOCWS   4     16         1          25         4          0.000023081899 
4799       OMPLOCWS   4     16         1          25         4          0.000029034913 
4800       OMPLOCWS   4     16         1          25         4          0.000022560358 
4801       OMPLOCWS   4     16         1          25         4          0.000023193657 
4802       OMPLOCWS   4     16         1          25         8          0.000017680228 
4803       OMPLOCWS   4     16         1          25         8          0.000028453767 
4804       OMPLOCWS   4     16         1          25         8          0.000049829483 
4805       OMPLOCWS   4     16         1          25         8          0.000031560659 
4806       OMPLOCWS   4     16         1          25         8          0.000029236078 
4807       OMPLOCWS   4     16         1          25         8          0.000027425587 
4808       OMPLOCWS   4     16         1          25         8          0.000026218593 
4809       OMPLOCWS   4     16         1          25         8          0.000026620924 
4810       OMPLOCWS   4     16         1          25         8          0.000028155744 
4811       OMPLOCWS   4     16         1          25         8          0.000028572977 
4812       OMPLOCWS   4     16         1          25         8          0.000029303133 
4813       OMPLOCWS   4     16         1          25         8          0.000028952956 
