N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
452        MON01      7     16         1          1          1          0.000026000000  0.000002000000  0.08       7.69      %
453        MON01      7     32         1          1          1          0.000123999998  0.000009000000  0.07       7.26      %
454        MON01      7     64         1          1          1          0.000520000001  0.000029999999  0.06       5.77      %
455        MON01      7     128        1          1          1          0.001810000045  0.000106000000  0.06       5.86      %
456        MON01      7     256        1          1          1          0.004968000110  0.000407000014  0.08       8.19      %
457        MON01      7     512        1          1          1          0.014197000302  0.001404999988  0.10       9.90      %
458        MON01      7     1024       1          1          1          0.045791000128  0.004662000109  0.10       10.18     %
459        MON01      7     2048       1          1          1          0.174970000982  0.032005999237  0.18       18.29     %
460        MON01      7     4096       1          1          1          0.697001993656  0.153172001243  0.22       21.98     %
461        MONO2      7     16         1          1          1          0.000010000000  0.000002000000  0.20       20.00     %
462        MONO2      7     32         1          1          1          0.000044000000  0.000009000000  0.20       20.45     %
463        MONO2      7     64         1          1          1          0.000167000006  0.000029999999  0.18       17.96     %
464        MONO2      7     128        1          1          1          0.001695999992  0.000106000000  0.06       6.25      %
465        MONO2      7     256        1          1          1          0.008128000423  0.000407000014  0.05       5.01      %
466        MONO2      7     512        1          1          1          0.015417999588  0.001404999988  0.09       9.11      %
467        MONO2      7     1024       1          1          1          0.045800000429  0.004662000109  0.10       10.18     %
468        MONO2      7     2048       1          1          1          0.175695002079  0.032005999237  0.18       18.22     %
469        MONO2      7     4096       1          1          1          0.703845977783  0.153172001243  0.22       21.76     %
470        MONO2M     7     16         1          1          1          0.000013000000  0.000002000000  0.15       15.38     %
471        MONO2M     7     32         1          1          1          0.000027000000  0.000009000000  0.33       33.33     %
472        MONO2M     7     64         1          1          1          0.000114000002  0.000029999999  0.26       26.32     %
473        MONO2M     7     128        1          1          1          0.000391999987  0.000106000000  0.27       27.04     %
474        MONO2M     7     256        1          1          1          0.001862999983  0.000407000014  0.22       21.85     %
475        MONO2M     7     512        1          1          1          0.005264000036  0.001404999988  0.27       26.69     %
476        MONO2M     7     1024       1          1          1          0.021104000509  0.004662000109  0.22       22.09     %
477        MONO2M     7     2048       1          1          1          0.084348998964  0.032005999237  0.38       37.94     %
478        MONO2M     7     4096       1          1          1          0.334987998009  0.153172001243  0.46       45.72     %
479        MONO2FUN   7     16         1          1          1          0.000005000000  0.000002000000  0.40       40.00     %
480        MONO2FUN   7     32         1          1          1          0.000021000000  0.000009000000  0.43       42.86     %
481        MONO2FUN   7     64         1          1          1          0.000086000000  0.000029999999  0.35       34.88     %
482        MONO2FUN   7     128        1          1          1          0.000327999995  0.000106000000  0.32       32.32     %
483        MONO2FUN   7     256        1          1          1          0.001382000046  0.000407000014  0.29       29.45     %
484        MONO2FUN   7     512        1          1          1          0.004263000097  0.001404999988  0.33       32.96     %
485        MONO2FUN   7     1024       1          1          1          0.007263999898  0.004662000109  0.64       64.18     %
486        MONO2FUN   7     2048       1          1          1          0.031371999532  0.032005999237  1.02       102.02    %
487        MONO2FUN   7     4096       1          1          1          0.127040997148  0.153172001243  1.21       120.57    %
488        MONO2PLA   7     16         1          1          1          0.000003000000  0.000002000000  0.67       66.67     %
489        MONO2PLA   7     32         1          1          1          0.000009000000  0.000009000000  1.00       100.00    %
490        MONO2PLA   7     64         1          1          1          0.000082999999  0.000029999999  0.36       36.14     %
491        MONO2PLA   7     128        1          1          1          0.000342000014  0.000106000000  0.31       30.99     %
492        MONO2PLA   7     256        1          1          1          0.001501000021  0.000407000014  0.27       27.12     %
493        MONO2PLA   7     512        1          1          1          0.005166000221  0.001404999988  0.27       27.20     %
494        MONO2PLA   7     1024       1          1          1          0.008864000440  0.004662000109  0.53       52.59     %
495        MONO2PLA   7     2048       1          1          1          0.033100999892  0.032005999237  0.97       96.69     %
496        MONO2PLA   7     4096       1          1          1          0.126867994666  0.153172001243  1.21       120.73    %
497        MONO2FTV   7     16         1          1          1          0.000031000000  0.000002000000  0.06       6.45      %
498        MONO2FTV   7     32         1          1          1          0.000138000003  0.000009000000  0.07       6.52      %
499        MONO2FTV   7     64         1          1          1          0.000515000022  0.000029999999  0.06       5.83      %
500        MONO2FTV   7     128        1          1          1          0.002027000068  0.000106000000  0.05       5.23      %
501        MONO2FTV   7     256        1          1          1          0.006544999778  0.000407000014  0.06       6.22      %
502        MONO2FTV   7     512        1          1          1          0.018358999863  0.001404999988  0.08       7.65      %
503        MONO2FTV   7     1024       1          1          1          0.045529000461  0.004662000109  0.10       10.24     %
504        MONO2FTV   7     2048       1          1          1          0.174909994006  0.032005999237  0.18       18.30     %
505        MONO2FTV   7     4096       1          1          1          0.698279976845  0.153172001243  0.22       21.94     %
