N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
2          SO1        1     16         1          1          1          0.000002000000  0.000002000000  1.00       100.00    %
3          SO1        1     32         1          1          1          0.000009000000  0.000009000000  1.00       100.00    %
4          SO1        1     64         1          1          1          0.000029999999  0.000029999999  1.00       100.00    %
5          SO1        1     128        1          1          1          0.000106000000  0.000106000000  1.00       100.00    %
6          SO1        1     256        1          1          1          0.000407000014  0.000407000014  1.00       100.00    %
7          SO1        1     512        1          1          1          0.001404999988  0.001404999988  1.00       100.00    %
8          SO1        1     1024       1          1          1          0.004662000109  0.004662000109  1.00       100.00    %
9          SO1        1     2048       1          1          1          0.032005999237  0.032005999237  1.00       100.00    %
10         SO1        1     4096       1          1          1          0.153172001243  0.153172001243  1.00       100.00    %
11         SO2        1     16         1          1          1          0.000003000000  0.000003000000  1.00       100.00    %
12         SO2        1     32         1          1          1          0.000008000000  0.000008000000  1.00       100.00    %
13         SO2        1     64         1          1          1          0.000034000001  0.000034000001  1.00       100.00    %
14         SO2        1     128        1          1          1          0.000090000001  0.000090000001  1.00       100.00    %
15         SO2        1     256        1          1          1          0.000303999986  0.000303999986  1.00       100.00    %
16         SO2        1     512        1          1          1          0.001001999946  0.001001999946  1.00       100.00    %
17         SO2        1     1024       1          1          1          0.003749999916  0.003749999916  1.00       100.00    %
18         SO2        1     2048       1          1          1          0.037034001201  0.037034001201  1.00       100.00    %
19         SO2        1     4096       1          1          1          0.128291994333  0.128291994333  1.00       100.00    %
20         SO3        1     16         1          1          1          0.000003000000  0.000003000000  1.00       100.00    %
21         SO3        1     32         1          1          1          0.000003000000  0.000003000000  1.00       100.00    %
22         SO3        1     64         1          1          1          0.000018000001  0.000018000001  1.00       100.00    %
23         SO3        1     128        1          1          1          0.000048999998  0.000048999998  1.00       100.00    %
24         SO3        1     256        1          1          1          0.000249000004  0.000249000004  1.00       100.00    %
25         SO3        1     512        1          1          1          0.000982000027  0.000982000027  1.00       100.00    %
26         SO3        1     1024       1          1          1          0.005510000046  0.005510000046  1.00       100.00    %
27         SO3        1     2048       1          1          1          0.032138999552  0.032138999552  1.00       100.00    %
28         SO3        1     4096       1          1          1          0.135257005692  0.135257005692  1.00       100.00    %
623        SO1        1     16         2          1          1          0.000003000000  0.000003000000  1.00       100.00    %
624        SO1        1     32         2          1          1          0.000004000000  0.000004000000  1.00       100.00    %
625        SO1        1     64         2          1          1          0.000009000000  0.000009000000  1.00       100.00    %
626        SO1        1     128        2          1          1          0.000024999999  0.000024999999  1.00       100.00    %
627        SO1        1     256        2          1          1          0.000078999998  0.000078999998  1.00       100.00    %
628        SO1        1     512        2          1          1          0.000413000002  0.000413000002  1.00       100.00    %
629        SO1        1     1024       2          1          1          0.001386999968  0.001386999968  1.00       100.00    %
630        SO1        1     2048       2          1          1          0.006095999852  0.006095999852  1.00       100.00    %
631        SO1        1     4096       2          1          1          0.043065000325  0.043065000325  1.00       100.00    %
632        SO2        1     16         2          1          1          0.000002000000  0.000002000000  1.00       100.00    %
633        SO2        1     32         2          1          1          0.000002000000  0.000002000000  1.00       100.00    %
634        SO2        1     64         2          1          1          0.000007000000  0.000007000000  1.00       100.00    %
635        SO2        1     128        2          1          1          0.000024000001  0.000024000001  1.00       100.00    %
636        SO2        1     256        2          1          1          0.000066000001  0.000066000001  1.00       100.00    %
637        SO2        1     512        2          1          1          0.000140999997  0.000140999997  1.00       100.00    %
638        SO2        1     1024       2          1          1          0.004164000042  0.004164000042  1.00       100.00    %
639        SO2        1     2048       2          1          1          0.010869000107  0.010869000107  1.00       100.00    %
640        SO2        1     4096       2          1          1          0.043965000659  0.043965000659  1.00       100.00    %
641        SO3        1     16         2          1          1          0.000001000000  0.000001000000  1.00       100.00    %
642        SO3        1     32         2          1          1          0.000001000000  0.000001000000  1.00       100.00    %
643        SO3        1     64         2          1          1          0.000002000000  0.000002000000  1.00       100.00    %
644        SO3        1     128        2          1          1          0.000009000000  0.000009000000  1.00       100.00    %
645        SO3        1     256        2          1          1          0.000029999999  0.000029999999  1.00       100.00    %
646        SO3        1     512        2          1          1          0.000610999996  0.000610999996  1.00       100.00    %
647        SO3        1     1024       2          1          1          0.004286000039  0.004286000039  1.00       100.00    %
648        SO3        1     2048       2          1          1          0.007507000118  0.007507000118  1.00       100.00    %
649        SO3        1     4096       2          1          1          0.043917000294  0.043917000294  1.00       100.00    %
1244       SO1        1     16         3          1          1          0.000003000000  0.000003000000  1.00       100.00    %
1245       SO1        1     32         3          1          1          0.000012000000  0.000012000000  1.00       100.00    %
1246       SO1        1     64         3          1          1          0.000035000001  0.000035000001  1.00       100.00    %
1247       SO1        1     128        3          1          1          0.000132000001  0.000132000001  1.00       100.00    %
1248       SO1        1     256        3          1          1          0.000538999971  0.000538999971  1.00       100.00    %
1249       SO1        1     512        3          1          1          0.002143000020  0.002143000020  1.00       100.00    %
1250       SO1        1     1024       3          1          1          0.004108000081  0.004108000081  1.00       100.00    %
1251       SO1        1     2048       3          1          1          0.036419998854  0.036419998854  1.00       100.00    %
1252       SO1        1     4096       3          1          1          0.185412004590  0.185412004590  1.00       100.00    %
1253       SO2        1     16         3          1          1          0.000002000000  0.000002000000  1.00       100.00    %
1254       SO2        1     32         3          1          1          0.000010000000  0.000010000000  1.00       100.00    %
1255       SO2        1     64         3          1          1          0.000037000002  0.000037000002  1.00       100.00    %
1256       SO2        1     128        3          1          1          0.000062999999  0.000062999999  1.00       100.00    %
1257       SO2        1     256        3          1          1          0.000493999978  0.000493999978  1.00       100.00    %
1258       SO2        1     512        3          1          1          0.002209000057  0.002209000057  1.00       100.00    %
1259       SO2        1     1024       3          1          1          0.006320999935  0.006320999935  1.00       100.00    %
1260       SO2        1     2048       3          1          1          0.039216000587  0.039216000587  1.00       100.00    %
1261       SO2        1     4096       3          1          1          0.177961006761  0.177961006761  1.00       100.00    %
1262       SO3        1     16         3          1          1          0.000003000000  0.000003000000  1.00       100.00    %
1263       SO3        1     32         3          1          1          0.000003000000  0.000003000000  1.00       100.00    %
1264       SO3        1     64         3          1          1          0.000013000000  0.000013000000  1.00       100.00    %
1265       SO3        1     128        3          1          1          0.000046000001  0.000046000001  1.00       100.00    %
1266       SO3        1     256        3          1          1          0.000211000006  0.000211000006  1.00       100.00    %
1267       SO3        1     512        3          1          1          0.001307999948  0.001307999948  1.00       100.00    %
1268       SO3        1     1024       3          1          1          0.004131999798  0.004131999798  1.00       100.00    %
1269       SO3        1     2048       3          1          1          0.041634999216  0.041634999216  1.00       100.00    %
1270       SO3        1     4096       3          1          1          0.194795995951  0.194795995951  1.00       100.00    %
