N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
44         O1         6     16         1          5          2          0.000010502338  0.000001000000  0.10       4.76      %
45         O1         6     16         1          5          2          0.000009116530  0.000001000000  0.11       5.48      %
109        O1         6     2048       1          100        8          0.027813851833  0.031577356160  1.14       14.19     %
110        O1         6     2048       1          100        16         0.030012154952  0.031577356160  1.05       6.58      %
111        O1         6     2048       1          100        16         0.030403016135  0.031577356160  1.04       6.49      %
112        O1         6     2048       1          100        16         0.029501274228  0.031577356160  1.07       6.69      %
113        O1         6     2048       1          100        16         0.033398102969  0.031577356160  0.95       5.91      %
115        O1         6     256        1          100        16         0.028368957341  0.000126739920  0.00       0.03      %
116        O1         6     256        1          100        8          0.003934565466  0.000126739920  0.03       0.40      %
117        O1         6     256        1          100        2          0.000155941059  0.000126739920  0.81       40.64     %
118        O1         6     256        1          100        2          0.000157582617  0.000126739920  0.80       40.21     %
119        O1         6     256        1          100        2          0.000150411273  0.000126739920  0.84       42.13     %
120        O1         6     256        1          100        4          0.000216587301  0.000126739920  0.59       14.63     %
121        O1         6     256        1          100        1          0.000136614108  0.000126739920  0.93       92.77     %
122        O1         6     256        1          100        1          0.000136853268  0.000126739920  0.93       92.61     %
132        O1         6     256        1          100        2          0.000147888320  0.000126739920  0.86       42.85     %
249        O1         6     256        1          1          4          0.000240091234  0.000126739920  0.53       13.20     %
250        O1         6     256        1          1          2          0.000293377787  0.000126739920  0.43       21.60     %
251        O1         6     256        1          1          1          0.000271469355  0.000126739920  0.47       46.69     %
252        O1         6     256        1          1          1          0.000242803246  0.000126739920  0.52       52.20     %
253        O1         6     256        1          1          2          0.000231422484  0.000126739920  0.55       27.38     %
254        O1         6     256        1          1          1          0.000219315290  0.000126739920  0.58       57.79     %
255        O1         6     4096       1          1          2          0.044115997851  0.197490602732  4.48       223.83    %
256        O1         6     4096       1          1          4          0.030911248177  0.197490602732  6.39       159.72    %
257        O1         6     4096       1          1          8          0.050049439073  0.197490602732  3.95       49.32     %
258        O1         6     4096       1          1          16         0.045618664473  0.197490602732  4.33       27.06     %
259        O1         6     4096       1          1          32         0.038382425904  0.197490602732  5.15       16.08     %
260        O1         6     4096       1          1          64         0.043035835028  0.197490602732  4.59       7.17      %
261        O1         6     4096       1          1          1          0.070195734501  0.197490602732  2.81       281.34    %
262        O1         6     2048       1          1          1          0.016472920775  0.031577356160  1.92       191.69    %
263        O1         6     2048       1          1          2          0.012945059687  0.031577356160  2.44       121.97    %
264        O1         6     2048       1          1          4          0.009148709476  0.031577356160  3.45       86.29     %
265        O1         6     2048       1          1          8          0.026882413775  0.031577356160  1.17       14.68     %
266        O1         6     2048       1          1          16         0.040615051985  0.031577356160  0.78       4.86      %
267        O1         6     2048       1          1          32         0.023173943162  0.031577356160  1.36       4.26      %
268        O1         6     2048       1          1          64         0.034072838724  0.031577356160  0.93       1.45      %
269        O1         6     4096       1          1          8          0.047314286232  0.197490602732  4.17       52.18     %
270        O1         6     4096       1          1          8          0.043119363487  0.197490602732  4.58       57.25     %
271        O1         6     4096       1          1          8          0.043119948357  0.197490602732  4.58       57.25     %
272        O1         6     4096       1          1          8          0.044256299734  0.197490602732  4.46       55.78     %
273        O1         6     4096       1          1          8          0.045000664890  0.197490602732  4.39       54.86     %
274        O1         6     4096       1          1          8          0.041628867388  0.197490602732  4.74       59.30     %
275        O1         6     4096       1          1          16         0.034989818931  0.197490602732  5.64       35.28     %
276        O1         6     4096       1          1          32         0.034941226244  0.197490602732  5.65       17.66     %
277        O1         6     4096       1          1          64         0.054652132094  0.197490602732  3.61       5.65      %
279        O1         6     8192       1          1          4          0.177636876702  0.756264984608  4.26       106.43    %
280        O1         6     8192       1          1          8          0.178224012256  0.756264984608  4.24       53.04     %
281        O1         6     8192       1          1          2          0.312128603458  0.756264984608  2.42       121.15    %
282        O1         6     8192       1          1          8          0.194966226816  0.756264984608  3.88       48.49     %
283        O1         6     8192       1          1          8          0.111023142934  0.756264984608  6.81       85.15     %
284        O1         6     8192       1          1          16         0.079873606563  0.756264984608  9.47       59.18     %
286        O1         6     4096       1          1          8          0.040872860700  0.197490602732  4.83       60.40     %
287        O1         6     4096       1          1          4          0.030438464135  0.197490602732  6.49       162.20    %
288        O1         6     4096       1          1          8          0.053161270916  0.197490602732  3.71       46.44     %
289        O1         6     4096       1          1          8          0.038814663887  0.197490602732  5.09       63.60     %
290        O1         6     4096       1          1          16         0.047252565622  0.197490602732  4.18       26.12     %
291        O1         6     2048       1          1          4          0.009870287031  0.031577356160  3.20       79.98     %
292        O1         6     2048       1          1          2          0.012929193676  0.031577356160  2.44       122.12    %
293        O1         6     2048       1          1          8          0.027419824153  0.031577356160  1.15       14.40     %
294        O1         6     2048       1          1          2          0.012312665582  0.031577356160  2.56       128.23    %
295        O1         6     2048       1          1          4          0.009423568845  0.031577356160  3.35       83.77     %
296        O1         6     2048       1          1          8          0.025846973062  0.031577356160  1.22       15.27     %
297        TOMP2      6     4096       1          1          2          0.841794610023  0.197490602732  0.23       11.73     %
298        TOMP2      6     16         1          1          4          0.000016113743  0.000001000000  0.06       1.55      %
299        TOMP2      6     32         1          1          4          0.000046268106  0.000001000000  0.02       0.54      %
300        TOMP2      6     32         1          1          4          0.116135857999  0.000001000000  0.00       0.00      %
301        TOMP2      6     64         1          1          4          0.000203518197  0.000003000000  0.01       0.37      %
302        TOMP2      6     64         1          1          4          0.020015120506  0.000003000000  0.00       0.00      %
