N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
38         IO1        2     16         1          20         1          0.000000750000  0.000001650000  2.20       220.00    %
39         IO1        2     32         1          20         1          0.000001900000  0.000004550001  2.39       239.47    %
40         IO1        2     64         1          20         1          0.000007450000  0.000016350003  2.19       219.46    %
41         IO1        2     128        1          20         1          0.000021550008  0.000057049998  2.65       264.73    %
42         IO1        2     256        1          20         1          0.000099249999  0.000236349966  2.38       238.14    %
43         IO1        2     512        1          20         1          0.000685149920  0.001125800074  1.64       164.31    %
44         IO1        2     1024       1          20         1          0.002764249919  0.005516849458  2.00       199.58    %
45         IO1        2     2048       1          20         1          0.014451099560  0.032362900674  2.24       223.95    %
46         IO1        2     4096       1          20         1          0.079718902707  0.140823811293  1.77       176.65    %
47         IO2        2     16         1          20         1          0.000002050000  0.000001650000  0.80       80.49     %
48         IO2        2     32         1          20         1          0.000003150000  0.000004550001  1.44       144.44    %
49         IO2        2     64         1          20         1          0.000006250000  0.000016350003  2.62       261.60    %
50         IO2        2     128        1          20         1          0.000018750001  0.000057049998  3.04       304.27    %
51         IO2        2     256        1          20         1          0.000082250001  0.000236349966  2.87       287.36    %
52         IO2        2     512        1          20         1          0.000597400009  0.001125800074  1.88       188.45    %
53         IO2        2     1024       1          20         1          0.002683650004  0.005516849458  2.06       205.57    %
54         IO2        2     2048       1          20         1          0.014479848556  0.032362900674  2.24       223.50    %
55         IO2        2     4096       1          20         1          0.080736443400  0.140823811293  1.74       174.42    %
56         IO2M       2     16         1          20         1          0.000002050000  0.000001650000  0.80       80.49     %
57         IO2M       2     32         1          20         1          0.000002150000  0.000004550001  2.12       211.63    %
58         IO2M       2     64         1          20         1          0.000006600001  0.000016350003  2.48       247.73    %
59         IO2M       2     128        1          20         1          0.000016099999  0.000057049998  3.54       354.35    %
60         IO2M       2     256        1          20         1          0.000083450002  0.000236349966  2.83       283.22    %
61         IO2M       2     512        1          20         1          0.000609599985  0.001125800074  1.85       184.68    %
62         IO2M       2     1024       1          20         1          0.002681199927  0.005516849458  2.06       205.76    %
63         IO2M       2     2048       1          20         1          0.013655248098  0.032362900674  2.37       237.00    %
64         IO2M       2     4096       1          20         1          0.080034837127  0.140823811293  1.76       175.95    %
65         IO2FUN     2     16         1          20         1          0.000002300000  0.000001650000  0.72       71.74     %
66         IO2FUN     2     32         1          20         1          0.000002850000  0.000004550001  1.60       159.65    %
67         IO2FUN     2     64         1          20         1          0.000007549999  0.000016350003  2.17       216.56    %
68         IO2FUN     2     128        1          20         1          0.000015699999  0.000057049998  3.63       363.38    %
69         IO2FUN     2     256        1          20         1          0.000076999990  0.000236349966  3.07       306.95    %
70         IO2FUN     2     512        1          20         1          0.000599999912  0.001125800074  1.88       187.63    %
71         IO2FUN     2     1024       1          20         1          0.002755949739  0.005516849458  2.00       200.18    %
72         IO2FUN     2     2048       1          20         1          0.015377251431  0.032362900674  2.10       210.46    %
73         IO2FUN     2     4096       1          20         1          0.079740896821  0.140823811293  1.77       176.60    %
