N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
11         I2         2     16         1          100        1          0.000000960939  0.000001224503  1.27       127.43    %
12         I2         2     32         1          100        1          0.000002900884  0.000003545545  1.22       122.22    %
13         I2         2     64         1          100        1          0.000010561571  0.000012075715  1.14       114.34    %
14         I2         2     128        1          100        1          0.000040044448  0.000050677358  1.27       126.55    %
15         I2         2     256        1          100        1          0.000158112118  0.000231884798  1.47       146.66    %
16         I2         2     512        1          100        1          0.000659518875  0.000710630789  1.08       107.75    %
17         I2         2     1024       1          100        1          0.001228275709  0.003203032538  2.61       260.77    %
18         I2         2     2048       1          100        1          0.010592447594  0.028332293034  2.67       267.48    %
19         I2         2     4096       1          100        1          0.053880471736  0.129099518061  2.40       239.60    %
20         I2M        2     16         1          100        1          0.000000931881  0.000001224503  1.31       131.40    %
21         I2M        2     32         1          100        1          0.000002885424  0.000003545545  1.23       122.88    %
22         I2M        2     64         1          100        1          0.000010587648  0.000012075715  1.14       114.05    %
23         I2M        2     128        1          100        1          0.000040733816  0.000050677358  1.24       124.41    %
24         I2M        2     256        1          100        1          0.000161695847  0.000231884798  1.43       143.41    %
25         I2M        2     512        1          100        1          0.000669324421  0.000710630789  1.06       106.17    %
26         I2M        2     1024       1          100        1          0.001234664349  0.003203032538  2.59       259.43    %
27         I2M        2     2048       1          100        1          0.010058691725  0.028332293034  2.82       281.67    %
28         I2M        2     4096       1          100        1          0.053742777556  0.129099518061  2.40       240.22    %
29         I2FTV      2     16         1          100        1          0.000000882149  0.000001224503  1.39       138.81    %
30         I2FTV      2     32         1          100        1          0.000002892315  0.000003545545  1.23       122.58    %
31         I2FTV      2     64         1          100        1          0.000010506995  0.000012075715  1.15       114.93    %
32         I2FTV      2     128        1          100        1          0.000040020608  0.000050677358  1.27       126.63    %
33         I2FTV      2     256        1          100        1          0.000158688432  0.000231884798  1.46       146.13    %
34         I2FTV      2     512        1          100        1          0.000661187223  0.000710630789  1.07       107.48    %
35         I2FTV      2     1024       1          100        1          0.001222646795  0.003203032538  2.62       261.98    %
36         I2FTV      2     2048       1          100        1          0.010220495984  0.028332293034  2.77       277.21    %
37         I2FTV      2     4096       1          100        1          0.053644686937  0.129099518061  2.41       240.66    %
38         I2FUN      2     16         1          100        1          0.000000927970  0.000001224503  1.32       131.96    %
39         I2FUN      2     32         1          100        1          0.000002717599  0.000003545545  1.30       130.47    %
40         I2FUN      2     64         1          100        1          0.000009732879  0.000012075715  1.24       124.07    %
41         I2FUN      2     128        1          100        1          0.000037387385  0.000050677358  1.36       135.55    %
42         I2FUN      2     256        1          100        1          0.000150247855  0.000231884798  1.54       154.33    %
43         I2FUN      2     512        1          100        1          0.000647897483  0.000710630789  1.10       109.68    %
44         I2FUN      2     1024       1          100        1          0.001286002458  0.003203032538  2.49       249.07    %
45         I2FUN      2     2048       1          100        1          0.011456859298  0.028332293034  2.47       247.30    %
46         I2FUN      2     4096       1          100        1          0.057241886854  0.129099518061  2.26       225.53    %
47         I2PLA      2     16         1          100        1          0.000000807643  0.000001224503  1.52       151.61    %
48         I2PLA      2     32         1          100        1          0.000002808683  0.000003545545  1.26       126.24    %
49         I2PLA      2     64         1          100        1          0.000010243803  0.000012075715  1.18       117.88    %
50         I2PLA      2     128        1          100        1          0.000039758906  0.000050677358  1.27       127.46    %
51         I2PLA      2     256        1          100        1          0.000158148265  0.000231884798  1.47       146.62    %
52         I2PLA      2     512        1          100        1          0.000662592065  0.000710630789  1.07       107.25    %
53         I2PLA      2     1024       1          100        1          0.001252475544  0.003203032538  2.56       255.74    %
54         I2PLA      2     2048       1          100        1          0.009973566979  0.028332293034  2.84       284.07    %
