N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
380        OMPGLBBB   7     16         1          25         1          0.000042555483  0.000001072139  0.03       2.52      %
381        OMPGLBBB   7     16         1          25         2          0.000042666496  0.000001072139  0.03       1.26      %
382        OMPGLBBB   7     16         1          25         4          0.000015942007  0.000001072139  0.07       1.68      %
383        OMPGLBBB   7     16         1          25         8          0.000022875518  0.000001072139  0.05       0.59      %
384        OMPGLBBB   7     16         1          25         16         0.000032265485  0.000001072139  0.03       0.21      %
385        OMPGLBBB   7     16         1          25         32         0.000060203671  0.000001072139  0.02       0.06      %
386        OMPGLBBB   7     16         1          25         64         0.000126869229  0.000001072139  0.01       0.01      %
387        OMPGLBBB   7     32         1          25         1          0.000047137590  0.000002787262  0.06       5.91      %
388        OMPGLBBB   7     32         1          25         2          0.000046936424  0.000002787262  0.06       2.97      %
389        OMPGLBBB   7     32         1          25         4          0.000016382337  0.000002787262  0.17       4.25      %
390        OMPGLBBB   7     32         1          25         8          0.000023127348  0.000002787262  0.12       1.51      %
391        OMPGLBBB   7     32         1          25         16         0.000034481287  0.000002787262  0.08       0.51      %
392        OMPGLBBB   7     32         1          25         32         0.000070326772  0.000002787262  0.04       0.12      %
393        OMPGLBBB   7     32         1          25         64         0.000125095990  0.000002787262  0.02       0.03      %
394        OMPGLBBB   7     64         1          25         1          0.000055706500  0.000008933246  0.16       16.04     %
395        OMPGLBBB   7     64         1          25         2          0.000055652112  0.000008933246  0.16       8.03      %
396        OMPGLBBB   7     64         1          25         4          0.000018000603  0.000008933246  0.50       12.41     %
397        OMPGLBBB   7     64         1          25         8          0.000025004894  0.000008933246  0.36       4.47      %
398        OMPGLBBB   7     64         1          25         16         0.000035582481  0.000008933246  0.25       1.57      %
399        OMPGLBBB   7     64         1          25         32         0.000069662929  0.000008933246  0.13       0.40      %
400        OMPGLBBB   7     64         1          25         64         0.000129470223  0.000008933246  0.07       0.11      %
401        OMPGLBBB   7     128        1          25         1          0.000030230731  0.000032915919  1.09       108.88    %
402        OMPGLBBB   7     128        1          25         2          0.000081331280  0.000032915919  0.40       20.24     %
403        OMPGLBBB   7     128        1          25         4          0.000023724138  0.000032915919  1.39       34.69     %
404        OMPGLBBB   7     128        1          25         8          0.000027956068  0.000032915919  1.18       14.72     %
405        OMPGLBBB   7     128        1          25         16         0.000037398189  0.000032915919  0.88       5.50      %
406        OMPGLBBB   7     128        1          25         32         0.000064750013  0.000032915919  0.51       1.59      %
407        OMPGLBBB   7     128        1          25         64         0.000127849722  0.000032915919  0.26       0.40      %
408        OMPGLBBB   7     256        1          25         1          0.000057666748  0.000153575093  2.66       266.31    %
409        OMPGLBBB   7     256        1          25         2          0.000056503712  0.000153575093  2.72       135.90    %
410        OMPGLBBB   7     256        1          25         4          0.000046601890  0.000153575093  3.30       82.39     %
411        OMPGLBBB   7     256        1          25         8          0.000037454069  0.000153575093  4.10       51.25     %
412        OMPGLBBB   7     256        1          25         16         0.000045778601  0.000153575093  3.35       20.97     %
413        OMPGLBBB   7     256        1          25         32         0.000072433802  0.000153575093  2.12       6.63      %
414        OMPGLBBB   7     256        1          25         64         0.000139749056  0.000153575093  1.10       1.72      %
415        OMPGLBBB   7     512        1          25         1          0.000202339143  0.000493390136  2.44       243.84    %
416        OMPGLBBB   7     512        1          25         2          0.000192976746  0.000493390136  2.56       127.84    %
417        OMPGLBBB   7     512        1          25         4          0.000133018199  0.000493390136  3.71       92.73     %
418        OMPGLBBB   7     512        1          25         8          0.000067008288  0.000493390136  7.36       92.04     %
419        OMPGLBBB   7     512        1          25         16         0.000078798083  0.000493390136  6.26       39.13     %
420        OMPGLBBB   7     512        1          25         32         0.000120003519  0.000493390136  4.11       12.85     %
421        OMPGLBBB   7     512        1          25         64         0.000185495621  0.000493390136  2.66       4.16      %
422        OMPGLBBB   7     1024       1          25         1          0.000786809600  0.002349806484  2.99       298.65    %
423        OMPGLBBB   7     1024       1          25         2          0.000820147980  0.002349806484  2.87       143.26    %
424        OMPGLBBB   7     1024       1          25         4          0.000440192234  0.002349806484  5.34       133.45    %
425        OMPGLBBB   7     1024       1          25         8          0.000171332067  0.002349806484  13.71      171.44    %
426        OMPGLBBB   7     1024       1          25         16         0.000126425177  0.002349806484  18.59      116.17    %
427        OMPGLBBB   7     1024       1          25         32         0.000260567671  0.002349806484  9.02       28.18     %
428        OMPGLBBB   7     1024       1          25         64         0.000331301242  0.002349806484  7.09       11.08     %
429        OMPGLBBB   7     2048       1          25         1          0.007664367557  0.019230667502  2.51       250.91    %
