N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
254        OMPGLBWS   5     16         1          25         1          0.000008664280  0.000001072139  0.12       12.37     %
255        OMPGLBWS   5     16         1          25         2          0.000004073977  0.000001072139  0.26       13.16     %
256        OMPGLBWS   5     16         1          25         4          0.000006638467  0.000001072139  0.16       4.04      %
257        OMPGLBWS   5     16         1          25         8          0.000012126565  0.000001072139  0.09       1.11      %
258        OMPGLBWS   5     16         1          25         16         0.000021059066  0.000001072139  0.05       0.32      %
259        OMPGLBWS   5     16         1          25         32         0.000047867747  0.000001072139  0.02       0.07      %
260        OMPGLBWS   5     16         1          25         64         0.000114295632  0.000001072139  0.01       0.01      %
261        OMPGLBWS   5     32         1          25         1          0.000011608749  0.000002787262  0.24       24.01     %
262        OMPGLBWS   5     32         1          25         2          0.000004438311  0.000002787262  0.63       31.40     %
263        OMPGLBWS   5     32         1          25         4          0.000007145107  0.000002787262  0.39       9.75      %
264        OMPGLBWS   5     32         1          25         8          0.000012559443  0.000002787262  0.22       2.77      %
265        OMPGLBWS   5     32         1          25         16         0.000021246076  0.000002787262  0.13       0.82      %
266        OMPGLBWS   5     32         1          25         32         0.000048848986  0.000002787262  0.06       0.18      %
267        OMPGLBWS   5     32         1          25         64         0.000118488075  0.000002787262  0.02       0.04      %
268        OMPGLBWS   5     64         1          25         1          0.000023105740  0.000008933246  0.39       38.66     %
269        OMPGLBWS   5     64         1          25         2          0.000006591529  0.000008933246  1.36       67.76     %
270        OMPGLBWS   5     64         1          25         4          0.000008426607  0.000008933246  1.06       26.50     %
271        OMPGLBWS   5     64         1          25         8          0.000014207512  0.000008933246  0.63       7.86      %
272        OMPGLBWS   5     64         1          25         16         0.000024702400  0.000008933246  0.36       2.26      %
273        OMPGLBWS   5     64         1          25         32         0.000059185921  0.000008933246  0.15       0.47      %
274        OMPGLBWS   5     64         1          25         64         0.000115932526  0.000008933246  0.08       0.12      %
275        OMPGLBWS   5     128        1          25         1          0.000063225627  0.000032915919  0.52       52.06     %
276        OMPGLBWS   5     128        1          25         2          0.000014103949  0.000032915919  2.33       116.69    %
277        OMPGLBWS   5     128        1          25         4          0.000013079494  0.000032915919  2.52       62.92     %
278        OMPGLBWS   5     128        1          25         8          0.000017467886  0.000032915919  1.88       23.55     %
279        OMPGLBWS   5     128        1          25         16         0.000025364756  0.000032915919  1.30       8.11      %
280        OMPGLBWS   5     128        1          25         32         0.000051449239  0.000032915919  0.64       2.00      %
281        OMPGLBWS   5     128        1          25         64         0.000120769444  0.000032915919  0.27       0.43      %
282        OMPGLBWS   5     256        1          25         1          0.000062233208  0.000153575093  2.47       246.77    %
283        OMPGLBWS   5     256        1          25         2          0.000040488689  0.000153575093  3.79       189.65    %
284        OMPGLBWS   5     256        1          25         4          0.000028423219  0.000153575093  5.40       135.08    %
