N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Avg_Time(s)     Seq_time(s)     Scaling    Efficiency
317        OMPLOCBB   6     16         1          25         1          0.000043934582  0.000001072139  0.02       2.44      %
318        OMPLOCBB   6     16         1          25         2          0.000043761731  0.000001072139  0.02       1.22      %
319        OMPLOCBB   6     16         1          25         4          0.000016254931  0.000001072139  0.07       1.65      %
320        OMPLOCBB   6     16         1          25         8          0.000023079663  0.000001072139  0.05       0.58      %
321        OMPLOCBB   6     16         1          25         16         0.000032764674  0.000001072139  0.03       0.20      %
322        OMPLOCBB   6     16         1          25         32         0.000062065570  0.000001072139  0.02       0.05      %
323        OMPLOCBB   6     16         1          25         64         0.000133026391  0.000001072139  0.01       0.01      %
324        OMPLOCBB   6     32         1          25         1          0.000047620386  0.000002787262  0.06       5.85      %
325        OMPLOCBB   6     32         1          25         2          0.000045323373  0.000002787262  0.06       3.07      %
326        OMPLOCBB   6     32         1          25         4          0.000016532838  0.000002787262  0.17       4.21      %
327        OMPLOCBB   6     32         1          25         8          0.000023172795  0.000002787262  0.12       1.50      %
328        OMPLOCBB   6     32         1          25         16         0.000035411864  0.000002787262  0.08       0.49      %
329        OMPLOCBB   6     32         1          25         32         0.000072930008  0.000002787262  0.04       0.12      %
330        OMPLOCBB   6     32         1          25         64         0.000131268054  0.000002787262  0.02       0.03      %
331        OMPLOCBB   6     64         1          25         1          0.000055407734  0.000008933246  0.16       16.12     %
332        OMPLOCBB   6     64         1          25         2          0.000055984408  0.000008933246  0.16       7.98      %
333        OMPLOCBB   6     64         1          25         4          0.000018195808  0.000008933246  0.49       12.27     %
334        OMPLOCBB   6     64         1          25         8          0.000024746358  0.000008933246  0.36       4.51      %
335        OMPLOCBB   6     64         1          25         16         0.000036040692  0.000008933246  0.25       1.55      %
336        OMPLOCBB   6     64         1          25         32         0.000073432180  0.000008933246  0.12       0.38      %
337        OMPLOCBB   6     64         1          25         64         0.000138498101  0.000008933246  0.06       0.10      %
338        OMPLOCBB   6     128        1          25         1          0.000029657782  0.000032915919  1.11       110.99    %
339        OMPLOCBB   6     128        1          25         2          0.000064402819  0.000032915919  0.51       25.55     %
340        OMPLOCBB   6     128        1          25         4          0.000023750215  0.000032915919  1.39       34.65     %
341        OMPLOCBB   6     128        1          25         8          0.000027363747  0.000032915919  1.20       15.04     %
342        OMPLOCBB   6     128        1          25         16         0.000037131460  0.000032915919  0.89       5.54      %
