N°        Compile    Mode  Dimension  Test_Mode  Samples    Threads    Time(s)        
7877       OMPLOCBB   6     16         1          25         1          0.000025972724 
7878       OMPLOCBB   6     16         1          25         1          0.000056758523 
7879       OMPLOCBB   6     16         1          25         1          0.000056080520 
7880       OMPLOCBB   6     16         1          25         1          0.000054642558 
7881       OMPLOCBB   6     16         1          25         1          0.000055085868 
7882       OMPLOCBB   6     16         1          25         1          0.000017996877 
7883       OMPLOCBB   6     16         1          25         1          0.000056128949 
7884       OMPLOCBB   6     16         1          25         1          0.000055056065 
7885       OMPLOCBB   6     16         1          25         1          0.000018727034 
7886       OMPLOCBB   6     16         1          25         1          0.000064618886 
7887       OMPLOCBB   6     16         1          25         1          0.000055387616 
7888       OMPLOCBB   6     16         1          25         1          0.000055849552 
7889       OMPLOCBB   6     16         1          25         1          0.000054761767 
7890       OMPLOCBB   6     16         1          25         1          0.000065021217 
7891       OMPLOCBB   6     16         1          25         1          0.000055555254 
7892       OMPLOCBB   6     16         1          25         1          0.000055588782 
7893       OMPLOCBB   6     16         1          25         1          0.000055182725 
7894       OMPLOCBB   6     16         1          25         1          0.000055164099 
7895       OMPLOCBB   6     16         1          25         1          0.000017814338 
7896       OMPLOCBB   6     16         1          25         1          0.000017851591 
7897       OMPLOCBB   6     16         1          25         1          0.000054594129 
7898       OMPLOCBB   6     16         1          25         1          0.000017490238 
7899       OMPLOCBB   6     16         1          25         1          0.000018395483 
7900       OMPLOCBB   6     16         1          25         1          0.000054530799 
7901       OMPLOCBB   6     16         1          25         1          0.000054769218 
7902       OMPLOCBB   6     16         1          25         2          0.000046245754 
7903       OMPLOCBB   6     16         1          25         2          0.000056833029 
7904       OMPLOCBB   6     16         1          25         2          0.000054560602 
7905       OMPLOCBB   6     16         1          25         2          0.000054676086 
7906       OMPLOCBB   6     16         1          25         2          0.000056236982 
7907       OMPLOCBB   6     16         1          25         2          0.000055875629 
7908       OMPLOCBB   6     16         1          25         2          0.000055842102 
7909       OMPLOCBB   6     16         1          25         2          0.000101860613 
7910       OMPLOCBB   6     16         1          25         2          0.000065904111 
7911       OMPLOCBB   6     16         1          25         2          0.000054921955 
7912       OMPLOCBB   6     16         1          25         2          0.000017967075 
7913       OMPLOCBB   6     16         1          25         2          0.000056587160 
7914       OMPLOCBB   6     16         1          25         2          0.000018596649 
7915       OMPLOCBB   6     16         1          25         2          0.000017777085 
7916       OMPLOCBB   6     16         1          25         2          0.000055123121 
7917       OMPLOCBB   6     16         1          25         2          0.000017952174 
7918       OMPLOCBB   6     16         1          25         2          0.000018443912 
7919       OMPLOCBB   6     16         1          25         2          0.000017479062 
7920       OMPLOCBB   6     16         1          25         2          0.000017791986 
7921       OMPLOCBB   6     16         1          25         2          0.000054769218 
7922       OMPLOCBB   6     16         1          25         2          0.000055078417 
7923       OMPLOCBB   6     16         1          25         2          0.000081907958 
7924       OMPLOCBB   6     16         1          25         2          0.000054802746 
7925       OMPLOCBB   6     16         1          25         2          0.000018145889 
7926       OMPLOCBB   6     16         1          25         2          0.000017482787 
7927       OMPLOCBB   6     16         1          25         4          0.000046860427 
7928       OMPLOCBB   6     16         1          25         4          0.000021308661 
7929       OMPLOCBB   6     16         1          25         4          0.000019554049 
7930       OMPLOCBB   6     16         1          25         4          0.000019852072 
7931       OMPLOCBB   6     16         1          25         4          0.000019822270 
7932       OMPLOCBB   6     16         1          25         4          0.000020578504 
7933       OMPLOCBB   6     16         1          25         4          0.000021640211 
7934       OMPLOCBB   6     16         1          25         4          0.000020060688 
7935       OMPLOCBB   6     16         1          25         4          0.000021055341 
7936       OMPLOCBB   6     16         1          25         4          0.000024266541 
7937       OMPLOCBB   6     16         1          25         4          0.000020548701 
7938       OMPLOCBB   6     16         1          25         4          0.000020604581 
7939       OMPLOCBB   6     16         1          25         4          0.000020489097 
7940       OMPLOCBB   6     16         1          25         4          0.000019703060 
7941       OMPLOCBB   6     16         1          25         4          0.000020567328 
7942       OMPLOCBB   6     16         1          25         4          0.000020395964 
7943       OMPLOCBB   6     16         1          25         4          0.000020075589 
7944       OMPLOCBB   6     16         1          25         4          0.000019706786 
7945       OMPLOCBB   6     16         1          25         4          0.000020097941 
7946       OMPLOCBB   6     16         1          25         4          0.000020109117 
7947       OMPLOCBB   6     16         1          25         4          0.000019676983 
7948       OMPLOCBB   6     16         1          25         4          0.000019703060 
7949       OMPLOCBB   6     16         1          25         4          0.000020280480 
7950       OMPLOCBB   6     16         1          25         4          0.000020690262 
7951       OMPLOCBB   6     16         1          25         4          0.000020693988 
7952       OMPLOCBB   6     16         1          25         8          0.000017531216 
7953       OMPLOCBB   6     16         1          25         8          0.000030189753 
7954       OMPLOCBB   6     16         1          25         8          0.000029880553 
7955       OMPLOCBB   6     16         1          25         8          0.000028740615 
7956       OMPLOCBB   6     16         1          25         8          0.000028703362 
7957       OMPLOCBB   6     16         1          25         8          0.000028904527 
7958       OMPLOCBB   6     16         1          25         8          0.000029202551 
7959       OMPLOCBB   6     16         1          25         8          0.000028371811 
7960       OMPLOCBB   6     16         1          25         8          0.000029202551 
7961       OMPLOCBB   6     16         1          25         8          0.000029079616 
7962       OMPLOCBB   6     16         1          25         8          0.000028803945 
7963       OMPLOCBB   6     16         1          25         8          0.000028867275 
7964       OMPLOCBB   6     16         1          25         8          0.000029277056 
7965       OMPLOCBB   6     16         1          25         8          0.000029250979 
7966       OMPLOCBB   6     16         1          25         8          0.000028707087 
7967       OMPLOCBB   6     16         1          25         8          0.000029217452 
